Feature.ID	B1_RPKM_fwd_RNA.Seq	B2_RPKM_fwd_RNA.Seq	B3_RPKM_fwd_RNA.Seq	B4_RPKM_fwd_RNA.Seq	B5_RPKM_fwd_RNA.Seq	B6_RPKM_fwd_RNA.Seq	B7_RPKM_fwd_RNA.Seq	B8_RPKM_fwd_RNA.Seq	B9_RPKM_fwd_RNA.Seq	B10_RPKM_fwd_RNA.Seq
KIAA0100	22.316	31.281	21.368	19.815	16.478	4.537	13.687	18.533	8.903	36.688
KIAA0101	1.614	7.959	2.3	2.922	7.12	2.556	0.695	8.717	2.011	3.344
KIAA0141	3.59	2.806	3.16	3.477	2.309	1.163	2.982	1.241	1.197	1.295
KIAA0146	18.333	13.556	9.036	11.274	18.302	4.16	7.818	11.574	3.766	13.776
KIAA0195	4.487	5.035	2.937	4.611	3.638	1.375	1.788	2.794	1.496	6.785
KIAA0196	9.77	36.45	8.513	7.748	7.642	3.776	7.047	7.46	4.194	14.871
KIAA0226	1.516	2.679	1.04	2.331	1.739	0.776	1.095	2.284	1.104	1.337
KIAA0226L	0.041	0.158	0.242	0.086	0.043	0.615	0.197	4.218	0.338	0.158
KIAA0232	9.5	14.788	10.508	5.743	7.699	3.27	6.044	2.486	3.165	16.396
KIAA0240	4.173	5.637	4.352	3.006	2.011	1.288	2.341	2.468	1.427	5.273
KIAA0247	1.755	3.905	1.568	2.562	1.109	1.037	1.405	1.391	1.101	3.493
KIAA0284	2.299	2.963	2.385	1.735	1.188	0.924	1.642	3.803	0.872	2.961
KIAA0317	5.959	5.743	4.554	5.184	3.703	1.637	4.356	4.915	3.024	6.759
KIAA0319	0.039	0.035	0.201	0.102	0.024	0.731	0.27	0.843	0.625	0.113
KIAA0319L	11.502	13.818	9.168	6.19	6.676	3.087	5.96	4.272	4.003	11.512
KIAA0355	3.414	3.263	2.416	2.492	3.111	1.046	1.853	2.955	1.274	3.333
KIAA0368	25.766	31.959	12.106	21.36	15.181	2.979	12.235	15.811	3.273	14.236
KIAA0391	9.446	11.507	8.365	5.894	5.012	1.943	5.792	4.182	3.558	6.819
KIAA0408	0	0.015	0	0.006011	0.007011	0	0	0	0	0.005528
KIAA0430	9.12	8.582	7.985	7.926	12.091	2.229	4.778	3.795	2.986	10.624
KIAA0494	33.064	43.751	28.031	20.491	13.866	7.213	16.967	21.33	10.526	41.089
KIAA0513	2.583	1.839	1.253	0.756	0.162	1.068	0.859	0.081	0.639	3.118
KIAA0528	10.803	8.516	11.687	8.175	8.722	2.894	5.902	4.529	2.947	9.001
KIAA0556	1.918	1.561	2.206	2.433	1.84	1.003	1.664	1.825	1.167	2.821
KIAA0586	4.385	4.805	3.473	5.108	3.614	3.715	2.934	2.842	2.023	3.862
KIAA0664	3.981	7.342	8.077	8.114	3.02	0.569	3.05	3.243	2.101	8.137
KIAA0753	5.345	5.725	6.913	5.159	4.802	1.306	4.817	4.641	2.152	7.223
KIAA0754	0.005797	0	0	0	0	0	0	0.007731	0.016	0
KIAA0825	0.738	0.477	1.986	0.454	0.592	1.309	0.985	0.287	0.758	0.534
KIAA0895	0.467	1.829	0.662	0.02	0.877	0.779	0.318	1.476	0.409	0.614
KIAA0895L	1.357	0.553	1.47	2.729	2.68	0.463	2.289	1.476	1.482	1.123
KIAA0907	10.139	6.427	14.49	11.607	10.811	2.255	13.286	14.07	3.347	6.588
KIAA0913	4.718	3.794	3.947	4.913	2.809	1.095	2.369	2.509	1.552	6.237
KIAA0922	0.741	0.749	0.9	0.379	0.465	1.393	0.76	0.623	1.026	0.751
KIAA0930	1.992	5.127	2.112	1.491	1.127	1.035	2.092	1.413	1.187	4.017
KIAA0947	8.516	8.95	9.577	5.179	6.586	2.375	4.746	8.641	3.424	10.755
KIAA1009	7.339	6.526	2.75	5.398	5.565	2.143	4.687	2.867	2.354	5.493
KIAA1024	0.054	0.074	0.442	0.253	0.237	0.57	0.132	0.528	0.714	0.483
KIAA1024L	0	0	0.335	0	0	0.915	0.274	0.188	0.977	0.353
KIAA1033	15.402	16.488	13.222	10.131	9.718	1.113	8.941	9.289	5.168	15.87
KIAA1045	0.014	0	0.066	0.008351	0	0.179	0.134	0.055	0.23	0.05
KIAA1107	7.095	5.64	4.367	2.776	4.313	1.688	3.291	5.068	2.065	4.791
KIAA1109	27.802	20.28	22.264	12.757	21.726	5.285	16.07	10.205	6.508	26.608
KIAA1143	11.364	22.418	9.46	6.003	8.453	3.332	4.573	4.471	3.42	12.308
KIAA1147	12.588	7.92	8.022	8.694	5.48	2.06	5.499	7.964	2.118	11.018
KIAA1161	0.231	0.835	0.343	0.535	0.122	0.166	0.323	0.295	0.56	0.566
KIAA1191	18.355	27.48	16.551	5.353	10.815	3.584	7.592	7.25	4.832	13.832
KIAA1199	0.194	2.611	0.217	0.538	0.386	0.815	0.273	0.191	0.775	0.932
KIAA1210	0	0	0.061	0	0.00728	0.38	0.087	0.055	0.329	0.069
KIAA1211	0.946	4.781	0.425	0.411	1.519	0.573	0.536	2.169	0.607	0.685
KIAA1211L	1.799	3.207	1.59	0.593	0.898	0.858	1.337	1.785	1.245	0.25
KIAA1217	13.251	10.103	8.691	9.006	7.064	2.353	6.903	4.84	3.83	10.413
KIAA1239	0.027	0.017	0.334	0.013	0.122	0.608	0.231	0.058	0.629	0.27
KIAA1244	9.55	17.27	5.076	6.887	8.757	1.832	5.153	16.561	2.95	12.973
KIAA1257	0.142	0.329	0.56	0.028	0.133	0.51	0.152	0.252	0.653	0.34
KIAA1279	13.322	14.8	8.686	5.123	7.878	1.785	6.959	10.133	4.049	13.526
KIAA1324	0.017	0.061	0.066	0.027	0.007878	0.58	0.137	0.127	0.403	0.059
KIAA1324L	15.139	7.379	5.624	6.614	5.869	2.544	5.808	4.397	3.325	13.059
KIAA1328	1.55	1.278	1.465	0.936	0.997	0.792	1.216	1.601	0.946	1.055
KIAA1377	1.298	0.454	2.224	0.153	0.404	0.422	1.105	0.283	0.811	0.555
KIAA1383	1.075	2.217	1.269	0.707	0.125	0.545	0.747	0.584	0.78	0.461
KIAA1407	4.783	5.848	3.723	2.972	3.896	1.275	3.022	2.293	1.352	2.299
KIAA1429	9.016	24.423	7.751	5.724	11.947	3.103	4.473	6.267	3.084	13.237
KIAA1430	11.833	20.167	13.198	8.087	8.358	2.794	5.964	2.908	2.846	20.475
KIAA1432	4.004	3.883	8.878	4.658	2.198	0.727	4.893	3.397	2.49	2.696
KIAA1456	0.881	0.106	0.557	0.004878	0.00569	1.222	0.637	0.075	0.47	0.406
KIAA1462	0.774	2.628	0.279	0.714	0.386	0.357	0.286	1.015	0.47	0.662
KIAA1467	6.046	5.561	3.876	3.275	6.371	1.039	1.907	1.203	2.306	3.618
KIAA1468	12.566	14.685	16.194	11.227	8.417	4.807	12.011	4.076	4.066	13.8
KIAA1522	9.108	11.537	13.887	12.63	4.338	1.715	4.529	7.42	3.257	13.498
KIAA1524	1.327	3.04	2.455	2.632	5.753	1.27	0.943	3.553	1.864	3.489
KIAA1549	0.908	0.177	0.588	0.837	0.912	0.745	0.593	0.673	0.676	1.594
KIAA1549L	0.738	1.256	0.273	0.16	1.299	0.977	0.414	0.877	0.896	0.075
KIAA1551	13.183	22.151	8.793	10.244	11.053	4.32	7.74	7.396	4.422	17.563
KIAA1586	5.295	5.194	3.286	3.355	6.412	1.629	3.698	5.719	1.895	8.692
KIAA1598	1.499	0.95	2.153	0.197	0.451	0.677	1.021	3.399	1.075	0.567
KIAA1609	6.546	9.156	6.285	4.717	4.291	1.911	4.808	1.619	2.961	15.099
KIAA1614	0.049	0.045	0.185	0.047	0.041	0.126	0.151	0.454	0.162	0.049
KIAA1644	0.09	0.177	0.157	0.036	0.101	0.57	0.287	0.072	0.465	0.173
KIAA1671	2.225	2.425	2.848	2.494	1.172	0.816	1.175	1.306	1.227	2.974
KIAA1683	0.118	0.014	0.151	0.187	0	0.118	0.235	0.146	0.227	0.04
KIAA1704	18.21	18.896	12.281	13.216	13.656	3.387	7.951	50.97	4.02	17.425
KIAA1715	7.839	16.056	9.002	5.396	4.594	3.304	3.163	32.016	4.488	8.14
KIAA1731	5.412	6.934	7.133	4.984	8.575	0.999	3.747	6.238	2.715	7.517
KIAA1737	4.066	10.191	2.763	3.706	2.725	1.246	2.211	3.388	1.932	5.583
KIAA1751	0.034	0.027	0.02	0.041	0.012	0.26	0.067	0.115	0.214	0.076
KIAA1755	0.013	0.009774	0.06	0.007616	0	0.491	0.081	0.042	0.245	0.042
KIAA1804	1.497	2.471	1.191	1.152	0.069	0.602	0.746	1.811	0.752	0.92
KIAA1841	2.162	2.362	0.905	1.46	4.148	1.203	1.533	7.741	0.954	2.514
KIAA1919	4.675	3.261	1.765	3.6	5.55	0.803	3.412	2.243	1.8	4.061
KIAA1958	1.282	1.799	0.287	1.765	1.613	0.326	0.72	1.669	0.376	1.021
KIAA1967	8.838	7.771	7.704	7.339	4.423	3.327	4.868	2.554	3.17	13.303
KIAA1984	5.446	2.228	0.728	1.65	1.759	0.917	0.7	1.038	1.371	0.916
KIAA2013	6.163	8.858	6.469	3.788	4.156	2.043	2.887	4.835	2.38	6.331
KIAA2018	4.468	5.505	3.73	3.865	3.27	1.071	2.317	3.546	1.797	6.711
KIAA2022	0.01	0.011	0.074	0	0	0.283	0.062	0.06	0.382	0.075
KIAA2026	10.974	10.109	11.54	7.632	3.4	0.898	6.396	6.688	3.42	6.985
KIDINS220	27.201	24.052	15.55	12.962	12.457	3.419	11.717	17.1	8.323	29.138
KIF11	3.641	7.825	8.536	7.664	11.654	2.547	0.71	10.412	1.787	11.342
KIF12	0.081	1.345	0.096	0.024	0.028	0.175	0.287	0.485	0.391	0.056
KIF13A	6.825	10.134	9.75	5.133	10.837	2.166	3.981	4.476	2.326	8.921
KIF13B	14.811	16.165	6.019	7.019	3.6	3.21	9.243	2.253	3.82	15.187
KIF14	1.201	3.264	2.47	4.456	5.33	1.417	0.56	5.323	1.17	3.613
KIF15	1.355	3.77	2.186	2.766	8.596	1.228	0.572	8.778	1.991	3.152
KIF16B	5.72	10.485	5.632	4.042	5.873	1.595	4.617	4.362	1.793	3.376
KIF17	0.021	0.05	0.025	0.013	0.015	0.139	0.111	0.043	0.178	0.042
KIF18A	1.11	3.276	2.775	2.496	3.964	1.817	0.513	3.287	1.876	2.14
KIF18B	0.264	0.117	0.157	1.082	0.704	0.733	0.134	1.736	0.418	0.565
KIF19	0	0	0.106	0	0.016	0.336	0.072	0.059	0.277	0.018
KIF1A	0.008773	0.014	0.052	0	0.025	0.303	0.159	1.363	0.146	0.097
KIF1B	3.787	3.537	2.874	3.576	5.452	1.189	1.758	5.616	1.566	4.13
KIF1C	11.616	17.463	6.883	7.167	4.352	1.214	5.457	6.978	3.636	12.936
KIF20A	2.355	6.374	4.153	5.36	6.367	2.014	0.737	8.798	2.162	5.072
KIF20B	3.898	7.211	4.844	4.752	9.812	1.994	1.399	6.567	2.112	8.765
KIF21A	7.652	7.54	8.842	1.647	4.957	2.29	2.407	4.704	3.289	8.071
KIF21B	0.301	0.826	0.416	0.771	1.152	0.299	0.578	1.617	0.27	0.61
KIF22	3.757	6.337	3.332	6.046	9.52	1.947	1.746	9.642	1.757	4.939
KIF23	2.694	8.364	3.971	5.96	13.206	1.71	0.554	14.386	2.983	10.003
KIF24	0.416	0.956	0.448	0.894	1.171	0.561	0.243	1.594	0.737	0.494
KIF25	0	0	0.191	0	0	0.463	0.208	0.143	0.593	0.059
KIF26A	0.024	0.065	0.057	0	0	0.052	0.039	0.016	0.05	0.013
KIF26B	0.688	0.559	1.358	0.141	0.688	0.6	0.552	0.289	0.307	1.143
KIF27	3.556	4.755	2.004	3.148	4.97	0.639	3.043	3.768	1.011	2.022
KIF2A	13.322	18.712	10.483	9.858	8.744	3.004	5.543	6.602	3.67	9.776
KIF2B	0.017	0	0.165	0	0.024	0.898	0.201	0.139	0.767	0.135
KIF2C	1.292	5.678	2.869	5.814	9.845	1.517	0.671	7.809	1.633	4.31
KIF3A	2.819	4.437	2.611	1.943	3.596	1.313	2.889	2.311	1.486	3.223
KIF3B	6.476	12.112	5.626	5.309	9.154	1.6	3.904	5.434	2.344	10.063
KIF3C	0.693	0.854	0.319	0.432	1.898	0.611	0.818	1.967	0.928	2.257
KIF4A	1.222	3.077	2.05	3.179	5.682	1.126	0.337	6.677	1.02	3.697
KIF4B	0.027	0.014	0.413	0	0.026	0.948	0.177	0.171	0.734	0.157
KIF5A	0.073	0	0.296	0.138	0.292	1.39	0.375	0.235	1.092	0.317
KIF5B	62.916	87.361	71.695	38.209	54.219	13.563	26.914	32.276	15.158	122.769
KIF5C (NC_000002 149632791..149686923)	1.533	0.365	0.14	0.071	0.249	0	0.152	0.865	0.327	0.131
KIF5C (NC_000002 149793795..149883273)	18.043	4.995	0.521	2.327	1.834	1.086	0.475	4.841	1.392	1.303
KIF6	0.081	0	0.436	0	0.029	0.748	0.355	0.353	0.733	0.243
KIF7	1.172	1.141	0.295	0.793	0.337	0.613	0.86	1.314	0.295	1.552
KIF9	0.696	2.94	0.614	0.569	0.648	0.582	0.826	0.27	0.839	0.854
KIFAP3	4.255	10.676	7.461	1.837	3.824	1.49	2.399	10.807	1.812	4.625
KIFC1	1.047	2.756	1.35	2.508	3.262	1.421	0.425	6.041	0.993	1.502
KIFC2	2.292	4.457	6.48	3.578	2.42	1.345	3.49	2.292	1.931	1.853
KIFC3	1.047	2.603	0.233	0.922	1.244	0.377	1.296	0.538	0.906	1.32
KIN	3.006	2.294	2.465	2.169	3.153	1.23	2.132	3.316	1.314	3.614
KIR2DL1	0	0.039	0.18	0	0	0.984	0.065	0.068	0.561	0.169
KIR2DL3	0	0	0.181	0	0	1.314	0.327	0.27	0.842	0.183
KIR2DL4	0.026	0	0.304	0.031	0	0.664	0.298	0.068	0.284	0.043
KIR2DS4	0	0	0.369	0	0.073	0.67	0.1	0.103	0.716	0.115
KIR3DL1	0	0	0.303	0	0	0.827	0.192	0.028	0.53	0.118
KIR3DL2	0.021	0.033	0.051	0	0	0.371	0.139	0.029	0.416	0.095
KIR3DL3	0	0	0.171	0	0.034	0.723	0.031	0.128	0.596	0.173
KIRREL	0.19	0.624	0.372	0.297	0.158	0.339	0.275	0.358	0.248	0.36
KIRREL2	0.041	0	0.128	0.016	0	0.409	0.175	0.054	0.299	0.053
KIRREL3	0.029	0	0.181	0.069	0.027	0.205	0.098	0.051	0.369	0.095
KISS1	0.057	0.702	0.808	0.137	0.399	0.49	0.219	0.076	0.157	0.44
KISS1R	0	0	0.118	0.03	0.035	0	0	0.1	0	0.014
KIT	4.283	14.844	35.651	1.236	0.132	2.397	0.707	1.584	2.467	2.186
KITLG	0.543	25.17	1.836	1.139	1.109	0.931	1.42	1.12	0.761	3.106
KL	0.145	0.3	0.134	0.009755	0.046	0.489	0.198	0.065	0.492	0.247
KLB	0.073	0.082	0.206	0.129	0.009369	0.719	0.163	0.08	0.479	0.17
KLC1	19.627	16.769	11.2	15.339	9.92	2.933	13.995	14.812	5.568	18.721
KLC2	1.745	1.169	1.088	1.24	1.08	0.642	1.007	1.436	0.48	0.893
KLC3	0.113	0.28	0.161	0.109	1.112	0.39	0.32	0.15	0.062	0.326
KLC4	3.431	2.5	3.23	1.288	1.681	1.262	1.805	0.83	1.266	2.898
KLF1	0.025	0	0	0	0	0.108	0.065	0	0.069	0
KLF10	4.22	6.738	10.22	1.797	1.364	2.961	1.648	1.939	1.832	6.107
KLF11	0.612	2.115	2.752	1.819	1.671	0.773	0.924	3.102	0.808	2.3
KLF12	2.036	0.833	1.383	0.166	0.245	0.897	1.336	1.721	0.575	0.338
KLF13	4.308	7.825	2.586	0.345	1.215	1.362	1.621	1.42	0.955	1.222
KLF14	0	0	0	0	0	0.351	0.035	0.036	0.15	0.045
KLF15	3.173	3.922	0.038	0.967	2.775	0.069	0.641	0.278	0.399	1.023
KLF16	0.631	1.172	0.799	0.761	0.552	0.182	0.398	0.411	0.233	1.011
KLF17	0.155	0.04	0.338	0.062	0.091	1.34	0.384	0.31	0.537	0.129
KLF2	1.98	0.719	0.232	0.531	0.069	0.106	0.253	0.587	0.135	0.516
KLF3	34.622	29.042	31.101	20.689	19.851	7.159	12.476	7.024	8.138	62.212
KLF4	1.793	6.325	5.407	7.808	3.204	0.715	2.44	3.532	0.84	2.473
KLF5	101.616	51.858	148.984	101.525	62.975	24.468	55.204	25.784	26.813	203.732
KLF6	28.838	18.282	16.678	12.328	11.936	2.174	10.186	28.423	4.805	15.133
KLF7	2.513	2.05	2.791	1.132	0.987	1.124	0.978	2.372	1.131	4.96
KLF8	2.082	3.526	3.12	0.459	2.459	0.838	0.491	3.493	0.682	0.621
KLF9	3.014	1.817	0.83	0.478	0.667	0.638	1.545	0.663	0.581	0.767
KLHDC1	2	1.677	1.607	0.236	0.656	0.844	1.398	0.401	0.541	0.651
KLHDC10	6.347	9.189	6.389	5.469	4.883	1.819	3.595	2.472	2.296	11.726
KLHDC2	21.618	46.188	20.648	6.841	11.29	5.806	12.091	13.413	5.395	15.181
KLHDC3	9.258	17.879	10.282	6.699	11.171	2.51	4.502	8.444	3.661	19.585
KLHDC4	3.564	6.007	2.838	3.416	2.331	0.724	1.678	1.565	1.335	3.944
KLHDC5	3.315	4.408	2.659	2.31	3.372	0.946	1.599	2.085	1.489	4.433
KLHDC7A	2.179	15.513	0.114	1.117	4.437	2.62	0.896	5.204	1.215	2.892
KLHDC7B	0.014	0.021	0.096	0.408	0	0.058	0.07	0.018	0.374	0.06
KLHDC8A	0	0	0.077	0	0	0.489	0.209	0.302	0.314	0.054
KLHDC8B	1.692	11.903	1.501	0.935	2.209	0.704	1.079	1.549	0.395	1.516
KLHDC9	0.907	1.593	2.227	0.438	0.341	0.653	1.21	1.452	0.419	0.923
KLHL1	0	0.015	0.093	0	0	0.632	0.302	0.234	0.864	0.243
KLHL10	0	0.062	0.096	0	0	0.522	0.078	0.134	0.446	0.056
KLHL11	5.323	9.134	7.024	3.989	4.383	2.179	2.875	5.961	1.589	9.866
KLHL12	11.72	24.933	13.245	7.9	6.569	3.089	10.814	8.906	4.127	13.218
KLHL13	1.612	0.46	2.076	0.031	0.036	0.623	0.241	0.17	0.47	0.179
KLHL14	0.019	0.059	0.226	0	0.013	0.492	0.196	0.165	0.605	0.163
KLHL15	2.643	2.926	2.374	1.043	1.561	0.696	1.548	2.794	0.571	4.168
KLHL17	0.174	0.049	0.225	0.267	0.533	0	0.224	0.189	0.087	0.263
KLHL18	2.508	3.846	1.566	2.046	2.434	0.851	1.559	2.021	1.232	3.521
KLHL2	7.321	5.376	4.312	3.227	4.696	3.338	4.371	1.505	2.682	5.928
KLHL20	5.139	7.816	7.158	3.115	3.864	1.614	3.604	8.831	2.554	7.338
KLHL21	1.47	2.193	1.949	0.664	1.511	0.428	0.815	1.287	0.399	1.686
KLHL22	1.454	2.156	1.286	0.784	1.764	1.002	1.078	1.959	0.771	2.627
KLHL23	0.06	0.138	0	0	0	0	0	0	0	0.077
KLHL24	38.184	36.546	15.666	9.359	25.351	3.6	10.625	11.981	5.286	41.42
KLHL25	0.297	0.919	0.287	0.358	0.51	0.142	0.213	0.527	0.578	0.719
KLHL26	0.337	0.361	0.4	0.25	0.237	0.112	0.318	0.207	0.143	0.539
KLHL28	5.206	6.324	4.064	3.093	2.713	1.521	2.911	2.578	1.453	7.846
KLHL29	2.029	0.715	0.813	0.211	1.703	0.997	1.038	0.297	0.837	0.199
KLHL3	1.541	1.982	2.502	0.248	0.774	1.154	1.791	0.404	1.536	0.998
KLHL30	0.088	0.187	0.052	0	0.015	0.095	0.057	0.015	0.122	0.037
KLHL31	0.373	0.327	1.038	0.57	0.367	0.578	0.3	0.338	0.702	0.457
KLHL32	0.053	0.049	0.252	0.026	0.135	0.597	0.247	0.156	0.559	0.478
KLHL33	0	0	0.155	0	0	0.188	0.028	0.116	0.24	0.012
KLHL34	0	0	0	0	0	0	0.018	0	0	0.007906
KLHL35	0.063	0.129	0.149	0.101	0.088	0	0.189	0.139	0.058	0.012
KLHL36	2.854	3.554	2.747	2.026	1.523	1.047	1.951	1.244	1.033	5.715
KLHL38	0	0	0.052	0.027	0	0.667	0.114	0.029	0.244	0.098
KLHL4	0.014	0.043	0.049	0.033	0.058	0.478	0.116	0.065	0.383	0.173
KLHL5	2.579	2.59	2.383	1.474	1.163	1.379	1.773	0.919	1.557	3.426
KLHL6	0.122	1.22	0.198	0.155	0.189	0.608	0.132	0.154	0.603	0.49
KLHL7	4.358	5.581	5.164	2.759	5.288	1.279	2.319	2.518	1.497	5.302
KLHL8	4.987	8.217	4.768	5.901	5.937	1.108	2.637	4.138	1.395	9.014
KLHL9	12.884	19.517	7.363	6.298	3.072	1.228	6.56	7.839	4.468	9.716
KLK1	0	0.143	0	0.056	0	0.2	0.06	0.062	0.384	0
KLK10	0.025	0	0.088	0.015	0.017	0.372	0.127	0.082	0.307	0.116
KLK11	0	0.041	0.126	0	0	0.345	0.103	0.035	0.295	0.458
KLK12	0.038	0	0.179	0	0	0.651	0.243	0.1	0.417	0.084
KLK13	0.064	0	0	0	0	0.556	0.291	0.129	0.356	0.107
KLK14	0	0	0.085	0	0	0.309	0.092	0.238	0.099	0.099
KLK15	0.031	0	0.073	0	0	0.935	0.239	0.082	0.257	0.017
KLK2	0.014	0.044	0.167	0.017	0.02	0.609	0.218	0.15	0.546	0.078
KLK3	0.018	0.085	0	0	0	0.553	0.071	0.073	0.253	0.01
KLK4	0	0	0.071	0	0	0	0.078	0.04	0.416	0.05
KLK5	0	0	0.123	0	0	0.112	0.067	0.173	0.143	0.057
KLK6	0	0.403	0	0	0	0.306	0.092	0.158	0.393	0.039
KLK7	0.038	0	0.135	0	0	0.491	0.098	0.101	0.367	0.032
KLK8	0.035	0.164	0.167	0	0.05	0.761	0.046	0.094	0.293	0.02
KLK9	0	0	0.134	0	0	0	0.036	0.038	0.078	0.031
KLKB1	0.144	0.502	0.385	0.043	0	1.011	0.395	0.24	0.449	0.28
KLLN	0.17	0.469	0.36	0.103	0.093	0.695	0.464	0.189	0.471	0.425
KLRB1	0.219	1.948	0.52	0.264	0.154	1.417	0.353	0.292	0.454	0.182
KLRC1	0.258	0.327	0.167	0	0.165	0.507	0.394	0.188	0.78	0.274
KLRC2	0.066	0.359	0.315	0	0.327	0.859	0.428	0.133	0.459	0.349
KLRC3	0	0.109	0.504	0.043	0.199	0.611	0.456	0.188	0.685	0.157
KLRC4	0	0.068	0	0	0	0	0	0	0.121	0
KLRC4-KLRK1	0.873	0.612	0.839	0.15	0.468	1.346	1.127	0.416	1.553	0.692
KLRD1	0.06	0.093	0.315	0.044	0.017	0.729	0.125	0.096	0.2	0.147
KLRF1	0.033	0.252	3.018	0	0.413	0.422	0.21	0.174	0.631	0.344
KLRF2	0	0	0.263	0	0.234	0.239	0.357	0.221	0.306	0.154
KLRG1	0.023	0.28	0.268	0.082	0.223	0.39	0.263	0.12	0.875	0.263
KLRG2	0	0	0.062	0	0.184	0.226	0.068	0.14	0.145	0.044
KLRK1	0.076	0.868	0	0.123	0	0	0.033	0	0	0.014
KMO	0.169	0.25	0.548	0.325	0.097	1.593	0.238	0.318	0.957	0.217
KNCN	0.051	0	0.121	0	0	0.146	0.197	0.068	0.421	0.019
KNDC1	0	0	0.043	0	0	0.052	0.054	0.024	0.066	0.003315
KNG1	0	0.036	0.028	0.014	0.017	0.813	0.137	0.173	0.586	0.131
KNTC1	3.689	4.778	4.65	5.3	13.632	1.706	1.755	11.89	2.283	6.661
KPNA1	5.427	7.842	4.381	5.649	4.853	1.598	3.466	3.469	2.731	7.269
KPNA2	10.462	30.133	10.63	21.308	31.7	2.913	3.562	29.129	5.204	22.171
KPNA3	7.858	12.313	8.636	9.834	5.321	2.148	3.701	1.99	2.403	9.109
KPNA4	12.154	11.681	8.754	8.188	7.515	3.211	5.119	6.77	3.118	13.669
KPNA5	9.468	6.97	2.984	6.268	6.176	2.187	6.706	3.175	3.062	11.581
KPNA6	8.335	12.334	7.86	5.762	7.2	2.513	4.046	5.298	3.008	9.222
KPNA7	0	0.149	0.342	0.087	0	0.83	0.186	0.096	0.665	0.253
KPNB1	48.567	51.736	37.085	35.15	29	9.028	17.832	42.201	13.57	52.312
KPRP	0.016	0.025	0.457	0.155	0.135	0.485	0.104	0.128	0.355	0.107
KPTN	0.168	0.26	0.228	0.376	0.405	0.414	0.186	0.703	0.398	0.266
KRAS	7.866	10.509	13.279	7.828	4.15	1.676	3.999	4.956	2.355	11.068
KRBA1	0.513	0.671	0.574	1.142	0.496	0.348	0.455	0.738	0.418	0.788
KRBA2	2.76	3.287	2.349	1.691	0.928	0.534	1.809	1.538	1.084	2.344
KRBOX1	0.058	0.815	0.556	0	0.494	0.253	0.226	0	1.618	0.422
KRCC1	19.525	29.602	22.862	4.206	4.711	4.287	8.761	3.786	3.77	19.918
KREMEN1	3.246	5.313	2.197	2.122	0.51	1.612	1.111	1.205	0.943	7.188
KREMEN2	0.02	0.03	0	0.024	0	0.085	0.076	0.026	0	0.033
KRI1	3.406	6.903	3.134	3.965	4.53	1.163	2.434	2.585	2.013	5.38
KRIT1	11.957	11.442	9.323	9.464	10.971	2.998	7.601	8.106	3.754	11.648
KRR1	26.839	39.092	18.466	17.106	20.394	6.664	12.776	9.916	6.005	38.976
KRT1	0.017	0.077	0.196	0	0	0.927	0.171	0.11	0.731	0.101
KRT10	2.061	2.05	1.796	0.867	1.198	1.307	0.928	1.412	1.518	2.718
KRT12	0.102	0.126	1.64	0.441	0.143	0.351	0.079	1.083	0.618	0.113
KRT13	173.462	82.185	1063.819	32.004	0.797	11.108	428.863	1.793	4.441	370.386
KRT14	0.049	1.417	1.351	4.686	0.035	0.748	0.224	0.594	0.548	2.951
KRT15	2.397	1.567	605.491	7.617	2.105	0.95	7.24	1.525	4.443	7.005
KRT16	0.188	1.021	1.846	2.103	0.099	0.203	0.304	0.157	0.196	0.902
KRT17	24.907	161.137	15.265	153.474	3.944	27.87	76.47	2.262	89.372	187.995
KRT18	111.253	731.148	68.56	94.036	85.676	22.316	43.631	79.822	34.585	416.643
KRT19	754.153	1442.626	786.256	275.427	193.481	122.018	359.721	180.453	255.826	1175.353
KRT2	0.017	0.026	0.438	0	0	1.231	0.13	0.201	0.51	0.177
KRT20	105.572	264.989	602.003	155.611	91.729	10.07	0.955	161.678	1.861	2.476
KRT222	0.047	0.217	0.111	0	0.164	1.41	0.331	0.155	0.71	0.414
KRT23	3.543	205.644	0.269	2.32	9.179	0.814	0.438	0.477	0.782	22.517
KRT24	0	0.033	0.255	0	0.03	0.929	0.389	0.143	0.655	0.107
KRT25	0	0	0.173	0	0.068	0.733	0.25	0.032	1.073	0.188
KRT26	0	0	0.056	0	0	0.808	0.211	0.156	0.712	0.13
KRT27	0	0.156	0.179	0	0	0.217	0.097	0.134	0.417	0.167
KRT28	0.024	0	0.17	0	0	0.516	0.154	0.223	0.463	0.093
KRT3	0.018	0	0.166	0	0.025	0.681	0.136	0.023	0.436	0.039
KRT31	0	0.039	0.241	0	0	0.548	0.295	0.068	0.14	0.056
KRT32	0	0	0.24	0	0	0.262	0.156	0.054	0.112	0.067
KRT33A	0.063	0.097	0.075	0.038	0.089	0.407	0.041	0.084	0.522	1.745
KRT33B	0	0.078	0.12	0	0	0.109	0.098	0.067	0.348	0.238
KRT34	0	0	0.112	0	0	0.714	0.183	0.063	0.458	0.052
KRT35	0.024	0	0.23	0	0	0.732	0.156	0.097	0.603	0.027
KRT36	0	0	0.117	0.089	0	0.744	0.064	0.033	0.273	0.068
KRT37	0	0.036	0.224	0	0	0.407	0.182	0.126	0.522	0.64
KRT38	0.014	0	0.203	0	0	0.37	0.092	0.133	0.316	0.047
KRT39	0.024	0	0.283	0	0	1.649	0.246	0.095	0.925	0.146
