Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
PAX6	0.278	0.082	0.093	0.087	0	0	0.025	0	0.242	0	0.075	0.032	0	0.277	0.374	0.031
PAX7	0.153	0	0	0.01	0.007329	0.03	0	0.018	0	0	0	0	0	0.123	0	0
PAX8	0.265	0.074	0.202	0.031	0.057	0.367	0.227	0	0.271	0	0.232	0.038	0.601	0.143	3.279	0.227
PAX9	0.762	1.664	0.044	0.021	0.179	0	0.675	0	0.062	0	0.676	1.845	0.039	0.281	0	2.441
PAXIP1	1.566	1.339	1.395	0.963	2.705	0.323	1.129	0.061	1.027	0	2.679	1.408	1.739	1.384	2.94	1.393
PBK	0.755	0.406	1.911	0.138	0.599	0.052	0.575	0	0.47	0	1.788	0.883	0.69	0.471	2.865	0.682
PBLD	0.528	0.721	8.807	24.789	7.96	8.159	0.515	3.554	1.143	16.423	1.103	0.492	7.576	12.637	0.62	0.584
PBOV1	0.387	0	0.19	0.051	0.055	0.383	0.117	0.227	0	0	0.132	0.016	0.097	0.813	0.115	0.023
PBRM1	4.008	7.244	6.43	3.187	4.545	3.322	4.044	1.038	3.719	1.326	10.716	8.599	4.68	2.163	8.096	7.344
PBX1	1.792	7.133	3.598	0.545	3.857	0.834	0.857	0.115	3.379	0.666	10.978	2.455	3.058	1.066	1.783	2.694
PBX2	4.255	5.03	5.597	3.736	4.018	3.84	5.802	3.157	6.233	1.954	4.711	6.166	4.455	1.569	16.655	5.293
PBX3	1.421	6.062	1.141	1.851	1.46	0.99	0.924	0.367	2.944	0.404	1.797	2.148	3.06	1.655	5.202	1.591
PBX4	0.187	0.406	0.354	0.037	0.241	0.028	0.595	0.066	0.317	1.451	0.639	0.654	0.106	0.28	0.815	0.897
PBXIP1	3.634	4.472	6.899	3.912	7.289	6.723	6.161	1.96	8.521	9.55	10.017	7.534	4.303	1.485	7.997	6.322
PC	0.305	0.71	0.739	14.062	0.447	12.532	0.087	0.054	0.274	13.914	0.612	0.221	2.14	3.269	0.358	0.217
PCBD1	0.535	1.347	6.229	9.394	3.541	1.575	0.329	0.113	4.302	4.576	3.789	0.698	6.296	4.144	3.34	0.857
PCBD2	0.77	0.612	1.117	1.745	1.42	0.525	1.175	0.144	1.1	1.232	1.626	1.886	2.459	1.223	1.459	1.691
PCBP1	11.004	28.323	24.392	20.421	9.169	20.098	12.158	9.438	59.47	22.466	28.87	21.248	21.809	6.478	66.097	22.281
PCBP2	12.798	23.475	33.253	25.834	15.452	20.137	18.715	6.613	44.848	13.858	25.089	22.79	23.221	10.548	22.414	22.741
PCBP3	0.487	0.076	0.445	0.128	0.047	1.69	0.684	0.115	0.26	0	0.361	0.608	0.092	0.195	0.054	0.664
PCBP4	0.239	1.091	1.903	1.161	1.682	1.235	0.391	1.82	1.819	0.186	0.98	0.536	0.891	0.602	3.798	0.535
PCCA	2.099	3.034	12.566	13.846	4.872	8.782	1.061	2.489	2.343	1.959	3.297	2.464	7.292	4.5	4.481	2.286
PCCB	1.033	1.338	1.961	9.632	0.148	1.689	0.588	0	1.016	8.477	2.032	1.476	3.669	4.806	3.775	1.44
PCDH1	0.503	2.498	2.638	2.401	3.73	0.575	0.371	0.533	3.281	0.861	4.227	0.802	7.155	0.979	7.921	1.193
PCDH10	0.221	0.189	0.023	0.033	0.016	0.016	0.088	0.137	0.702	0.072	0.123	0.033	0.094	0.199	0.031	0
PCDH11X	0.361	0.03	0.023	0.011	0.02	0.008256	0.171	0	0.056	0	0.043	0.265	0.037	0.167	0	0.277
PCDH11Y	0.05	0	0	0.005976	0	0.108	0.145	0.533	0.039	0	0.062	0.12	0.0057	0.236	0.003382	0.075
PCDH12	0.083	0.339	0.197	0.173	0.089	0.445	0.071	0.814	0.542	0	0.139	0.151	0.435	0.168	0.286	0.133
PCDH15	0.579	0	0.066	0.056	0.041	0.2	0.233	0.119	0.104	0	0	0.147	0.024	0.49	0	0.148
PCDH17	0.255	0.476	0.485	0.343	0.237	0.749	0.188	0.655	1.25	0.941	0.31	0.243	0.882	0.484	0.429	0.387
PCDH18	0.838	2.167	0.888	0.173	0.259	0.252	0.118	2.451	1.509	0.071	0.692	0.918	0.773	0.525	1.016	0.749
PCDH19	0.32	0.561	0.489	0.065	0.128	0.004921	0.011	1.157	0.202	0.043	0.079	0.036	0.044	0.149	0.093	0.047
PCDH20	0.225	0.158	0.128	0.12	0.552	0	0.015	0	0	0	0	0.033	0.051	0.426	0.053	0.024
PCDH7	0.455	3.081	0.411	0.064	0.535	0.386	0.17	0.115	0.546	0	0.25	0.471	0.441	0.244	1.229	0.387
PCDH8	0.027	0	0.017	0	0	0	0.018	0	0	0	0	0	0	0.121	0	0
PCDH9	0.709	0.411	0.339	0.451	0.163	0.925	0.526	0.037	0.596	0.605	0.035	0.852	0.127	0.529	0.093	0.526
PCDHA1	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0.011
PCDHA2	0.02	0	0	0	0	0	0.006704	0	0	0	0	0	0	0.035	0	0
PCDHA3	0.04	0	0	0	0	0	0.014	0	0	0	0.021	0.007302	0	0	0	0
PCDHA4	0.02	0	0	0	0	0	0	0	0.024	0	0.01	0.007271	0	0	0.013	0.011
PCDHA5	0.061	0	0	0	0.026	0	0	0	0	0	0.01	0	0	0.018	0	0
PCDHA6	0.02	0	0	0	0.026	0	0.006931	0	0	0	0.021	0	0	0	0	0
PCDHA7	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0.011
PCDHA8	0	0	0	0	0.017	0	0	0	0.012	0	0	0	0	0	0	0
PCDHA9	0.012	0	0	0.0069	0.009999	0	0.012	0	0.006981	0	0	0	0.006582	0.01	0	0
PCDHAC2	0	0.008194	0	0	0	0	0	0	0	0	0	0.006366	0.03	0	0	0
PCDHB1	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0
PCDHB10	0	0	0.042	0	0.057	0	0.011	0	0.03	0	0.034	0.036	0.056	0.03	0.011	0.018
PCDHB11	0	0.015	0	0	0.014	0	0	0	0.02	0.128	0	0.024	0.093	0.03	0.022	0.018
PCDHB12	0	0.074	0.04	0	0.041	0	0	0	0.009477	0	0.032	0.034	0.071	0.028	0.021	0.017
PCDHB13	0	0.014	0.059	0	0	0	0	0.785	0.028	0	0.063	0.056	0.035	0.028	0.01	0.049
PCDHB14	0.039	0.126	0.049	0.023	0.033	0	0.092	0.041	0.023	0	0.159	0.014	0.131	0	0.104	0.062
PCDHB15	0.041	0.076	0.051	0.024	0	0.018	0.014	0	0	0	0	0.059	0.069	0.037	0.014	0.043
PCDHB16	0.022	0.021	0	0	0.009605	0	0	0	0.047	0	0.011	0.016	0	0.02	0.023	0.024
PCDHB2	0	0.018	0	0.047	0	0.018	0.013	0	0.024	0	0.02	0.014	0.045	0.036	0.079	0.021
PCDHB3	0	0.063	0.021	0.02	0.015	0.015	0.012	0	0	0	0	0	0	0.031	0	0.018
PCDHB4	0.03	0.028	0.038	0	0	0	0	0.094	0.036	0	0.092	0	0.017	0	0	0.016
PCDHB5	0.037	0.052	0.023	0.022	0	0.066	0.013	0	0.022	0	0.133	0	0.021	0	0.012	0
PCDHB6	0	0	0.045	0.021	0	0.048	0	0.376	0	0	0.109	0.013	0	0.032	0.024	0
PCDHB7	0.029	0.041	0	0	0.025	0.052	0	0.031	0	0	0.03	0.01	0	0	0.029	0.015
PCDHB8	0	0.037	0.025	0.047	0	0	0.027	0.042	0	0	0.041	0	0.045	0.036	0.053	0.042
PCDHB9	0.026	0.012	0.113	0	0.022	0.011	0.008715	0.081	0.015	0.099	0.013	0.009244	0.014	0	0.043	0.014
PCDHGA1	0.093	0.011	0.088	0.055	0.05	0	0.095	0	0	0	0.047	0.05	0.275	0.146	0.016	0.025
PCDHGA10	0	0	0.043	0	0	0	0	0	0	0	0	0	0.039	0	0	0
PCDHGA11	0	0	0	0	0	0	0	0	0	0	0	0.007361	0	0	0	0
PCDHGA2	0	0	0	0.04	0	0.009923	0.0076	0.024	0.067	0	0.011	0	0	0	0	0
PCDHGA3	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0
PCDHGA4	0	0.011	0	0.027	0	0.01	0	0	0.021	0	0.012	0	0	0	0.015	0
PCDHGA5	0	0	0	0.014	0	0	0	0	0.014	0	0	0	0	0	0	0
PCDHGA6	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0
PCDHGA7	0	0.02	0	0.013	0	0	0	0	0.006589	0	0	0.024	0	0.02	0.044	0
PCDHGB1	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0.023	0.012
PCDHGB2	0.023	0.033	0	0	0	0	0	0	0.028	0	0.012	0.008447	0.013	0	0.016	0.012
PCDHGB3	0	0	0	0	0	0.01	0	0	0	0	0	0.017	0.013	0	0.007811	0.037
PCDHGB5	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGB6	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGC3	0	0.02	0	0	0	0	0	0	0	0	0	0.039	0.012	0	0.007263	0
PCDP1	0.91	0.106	0.12	0.247	0.717	0.068	0.207	0	0	2.063	0.078	0.055	0.472	0.853	0	0
PCED1A	0.896	1.107	1.898	1.461	1.674	0.579	1.346	1.754	3.09	0	1.057	1.006	0.811	0.565	5.14	0.693
PCED1B	1.971	0.774	0.558	0.246	0.424	0.162	3.012	0.879	0.591	0.202	0.932	3.778	0.969	0.28	2.943	2.105
PCF11	4.934	6.367	3.421	2.062	3.717	3.386	7.356	0.829	2.272	0.495	5.344	10.764	4.192	1.656	7.987	8.143
PCGF1	1.069	1.163	1.429	0.705	1.277	0	0.731	0	1.676	0	2.012	1.291	1.344	0.856	3.988	0.888
PCGF2	0.289	1.542	1.91	0.736	2.985	0.553	0.748	0.481	3.026	0	1.994	0.509	0.889	0.074	4.69	0.508
PCGF3	1.425	4.757	4.689	1.409	2.278	1.22	2.81	0.342	1.801	0.591	2.018	3.414	2.3	0.89	5.357	3.042
PCGF5	2.268	3.079	5.202	3.788	5.061	1.881	2.566	0.199	3.711	2.977	1.616	5.878	3.433	2.108	5.562	6.154
PCGF6	0.869	1.486	1.008	1.489	0.519	1.184	0.462	0.613	1.477	1.877	2.081	1.067	1.202	0.696	1.523	1.211
PCID2	1.608	1.763	5.089	1.431	1.262	1.094	1.016	0.383	2.015	0.469	2.291	3.059	4.186	1.086	6.992	2.382
PCIF1	0.519	1.079	2.374	1.018	1.613	0.32	0.886	0	1.533	0.621	0.983	1.634	1.739	0.575	3.376	1.065
PCK1	0.762	0.131	9.717	110.009	20.558	144.101	0.274	2.504	5.293	34.758	0.226	0.102	11.002	71.853	0.148	0.235
PCK2	0.963	0.801	4.532	31.155	1.638	10.835	1.202	0.532	1.32	17.912	1.913	1.335	4.953	17.692	8.309	1.23
PCLO	0.444	0.524	0.733	0.054	1.118	0.164	0.17	0.077	0.072	0.019	0.696	0.119	0.079	0.496	0	0.137
PCM1	6.68	8.155	9.95	7.859	8.344	7.188	7.469	1.985	4.163	2.335	7.504	15.199	6.997	3.698	8.347	11.736
PCMT1	2.736	4.452	8.547	5.387	4.754	2.441	2.207	0.123	8.926	3.848	5.109	5.463	8.169	2.726	9.458	5.873
PCMTD1	6.892	7.89	10.659	3.417	9.063	3.2	5.824	6.725	5.332	2.999	8.196	12.335	14.521	3.984	11.524	11.695
PCMTD2	3.33	4.568	10.378	3.297	9.355	2.197	4.032	1.136	6.663	2.995	11.086	7.198	10.151	2.305	11.102	8.46
PCNA	3.21	6.649	8.219	2.037	5.551	0.266	2.473	1.581	11.849	0.29	31.915	9.141	6.504	1.21	45.505	8.129
PCNP	5.289	13.205	13.599	5.219	13.122	2.423	5.419	3.054	17.729	11.402	9.13	16.373	14.608	2.295	27.806	15.629
PCNT	1.937	3.056	1.032	1.669	1.923	1.382	2.657	2.126	1.67	0.357	7.162	2.84	1.378	0.872	3.035	2.465
PCNX	3.908	4.289	2.731	2.881	2.836	2.323	3.034	3.882	2.26	1.814	3.755	7.269	4.366	2.146	7.395	7.45
PCNXL2	1.548	1.826	0.55	0.094	0.998	0.056	2.896	1.739	1.123	0.123	2.78	3.965	6.415	0.555	1.77	2.444
PCNXL3	0.853	1.468	1.235	1.196	0.282	0.314	1.098	0.174	1.766	3.314	1.792	1.568	1.493	0.384	8.728	1.138
PCNXL4	1.971	2.936	1.542	1.413	1.047	1.38	1.945	0.348	2.366	0	2.234	4.166	3.718	0.912	11.717	4.267
PCOLCE	0.997	5.267	2.186	2.128	1.2	1.571	0.409	0.563	8.414	2.067	0.853	1.059	0.827	0.479	4.439	0.674
PCOLCE2	0.636	1.978	0.034	1.29	0	0.024	0.254	0	0.636	0	0.027	0.231	0.33	1.91	0.552	0.198
PCP2	0	0.071	0	0.09	0	0	0.052	0	0	0	0.078	0.055	0.173	0	0.256	0
PCP4	0.387	1.174	0	0	1.082	0	0.132	0	0.465	0	0.199	0.14	0	0.349	0	0
PCP4L1	0.302	0.458	0.383	1.3	0.13	0.809	0.103	1.441	0.045	0	0.349	0.219	0.086	0.953	0.076	0.363
PCSK1	0.568	0.189	0.077	0.096	0.244	0.009045	0.006927	0.021	0.73	0	0.042	0.022	0.011	0.53	0.02	0.043
PCSK1N	0	0.052	0	0	0.713	0	0.076	0	0	0	0.227	0.08	0.188	0	0	0.059
PCSK2	0.107	0.497	0	0.013	0	0	0	0.045	0.038	0	0	0.00772	0.012	0.134	0	0.023
PCSK4	0	0.019	0.205	0.192	0.296	0	0.083	0.128	0.024	0	0.042	0	0.092	0	0.502	0.065
PCSK5	0.552	1.551	0.545	0.328	0.138	0.261	0.17	0.07	0.278	0.387	0.079	0.58	2.657	0.697	0.623	0.619
PCSK6	0.45	0.608	0.662	12.633	0.353	3.02	0.17	2.572	0.203	10.881	1.337	0.227	4.205	7.33	1.663	0.395
PCSK7	2.286	3.098	3.989	1.228	1.434	2.219	4.021	1.243	2.651	0.48	3.156	4.645	2.395	0.918	4.729	4.255
PCSK9	0.087	0.068	0.496	1.497	0.798	0.466	0.069	0.031	0.131	1.015	0	0.042	0.295	0.392	0.497	0.015
PCTP	0.658	0.833	3.748	7.891	4.142	2.642	0.289	0.05	3.032	1.279	5.139	0.971	3.83	4.022	5.712	1.129
PCYOX1	1.662	6.161	7.639	11.72	4.586	5.304	1.012	0.636	5.418	5.993	4.85	3.779	6.06	5.427	8.447	3.644
PCYOX1L	1.393	1.043	0.16	0.075	1.487	0.414	2.277	0.045	0.734	0	3.205	2.217	0.692	0.646	1.161	1.824
PCYT1A	1.836	5.866	3.787	2.783	2.718	2.699	1.719	0.432	4.285	11.368	6.177	4.41	4.078	1.776	8.103	3.412
PCYT1B	0.258	0.026	0.047	0.022	0.016	0.197	0.013	0.059	0.194	0	0.028	0.006676	0.01	0.133	0.012	0.009835
PCYT2	0.607	0.523	1.209	4.21	0.704	1.136	0.3	0.482	0.428	3.066	1.806	0.593	2.986	1.912	1.598	0.486
PDAP1	2.722	6.571	7.904	4.25	22.299	6.017	4.731	2.585	8.588	6.537	5.794	3.568	5.459	1.082	10.427	3.227
PDC	0.65	0	0.154	0	0	0.688	0.083	0	0	0	0.042	0.029	0.046	0.805	0	0
PDCD1	0.408	0.166	0.065	0.03	0.197	0.136	1.288	0	0	0	0.34	0.517	0.058	0	0.582	0.626
PDCD10	2.813	6.302	9.681	2.645	14.626	0.979	2.578	5.811	5.558	0.533	10	9.023	8.656	1.915	16.121	8.02
PDCD11	1.258	2.464	2.24	2.319	3.584	1.624	1.88	1.776	1.999	0.457	3.47	3.051	2.174	1.466	3.323	2.203
PDCD1LG2	1.247	0.747	0.225	0.158	0.344	0.119	0.684	5.892	0.214	0	1.371	1.161	0.403	0.682	5.992	0.974
PDCD2	2.229	2	3.158	1.38	5.332	0.249	3.07	0.154	3.751	0.659	5.347	4.793	3.167	0.982	2.627	4.009
PDCD2L	0.465	0.26	0.471	0.827	0.999	0	0.127	0	2.594	0	1.861	1.179	1.683	0.502	7.333	0.844
PDCD4	9.752	17.768	27.004	7.873	22.871	6.478	10.092	0.647	12.516	8.827	13.894	25.553	9.585	3.644	5.833	24.006
PDCD5	3.386	11.302	17.706	6.766	63.963	17.328	4.931	0.755	18.877	10.393	15.916	8.2	9.983	3.21	29.972	9.037
PDCD6	3.13	7.032	13.323	3.432	7.868	1.777	2.235	1.305	9.135	15.117	11.974	6.322	14.435	1.794	29.543	6.581
PDCD6IP	4.325	9.01	12.689	4.218	8.048	2.297	4.487	3.584	7.348	3.274	8.454	9.278	6.47	2.334	16.278	8.94
PDCD7	1.435	2.518	1.911	1.433	3.083	2.24	2.425	0.4	1.371	0.294	3.352	2.873	1.773	0.816	3.219	2.237
PDCL	1.221	2.164	3.356	0.745	2.7	2.334	1.347	0.296	2.659	2.035	3.331	2.819	2.033	0.503	4.79	2.626
PDCL2	1	0	0	0	0	0	0	0	0	0	0	0.045	0.141	0.563	0	0.067
PDCL3	0.401	2.008	3.675	1.426	10.028	0.849	1.163	0	8.593	0	5.037	2.104	2.38	1.443	2.588	1.71
PDDC1	0.839	2.151	1.436	2.151	7.731	3.213	2.183	8.673	5.5	6.714	1.95	1.207	1.382	0.689	3.048	1.225
PDE10A	0.591	0.386	0.474	0.093	0.435	0.797	0.265	0.668	0.477	0	10.288	0.452	1.286	0.473	0.745	0.421
PDE11A	0.407	0.026	0.167	0.6	0.203	0.981	0.045	0.687	0.333	0.385	0.068	0.084	0.218	0.624	0.015	0.035
PDE12	1.456	3.055	3.361	2.159	0.927	1.154	1.501	0.685	2.37	3.668	4.815	3.184	3.035	1.287	3.538	3.079
PDE1A	0.773	0.705	0.479	0.224	0.34	0.866	0.123	0	2.089	0	0.141	0.193	0.632	0.619	0.081	0.165
PDE1B	0.329	0.265	0.152	0.231	0.051	0.107	0.266	0.729	0.189	0.116	0.231	0.304	0.102	0.216	0.08	0.224
PDE1C	0.614	0.103	0.155	0.087	0	0.011	0.092	2.054	0.066	0	0.088	0.044	0.153	0.863	0.016	0.013
PDE2A	0.298	0.588	0.16	0.857	0.128	2.617	0.243	0.024	0.337	0.98	0.071	0.299	0.532	0.619	0.077	0.269
PDE3A	0.806	1.286	2.694	0.772	2.45	2.132	0.208	0.854	3.103	1.155	0.123	0.738	1.729	0.815	0.57	0.725
PDE3B	2.333	1.319	4.496	3.606	2.347	2.112	1.394	0.094	1.315	3.367	1.968	4.149	1.93	2.881	0.54	4.641
PDE4A	0.22	0.83	0.662	0.25	1.364	0.524	0.307	0.019	0.848	0.499	0.48	0.365	0.425	0.198	3.337	0.255
PDE4B	2.106	2.388	0.941	1.286	0.515	3.306	1.404	0.328	1.444	0.883	1.325	4.638	0.818	0.893	1.463	3.681
PDE4C	0.148	0.052	0.047	0.099	1.075	0.033	0.165	0.078	0.067	0	0.086	0.02	0.073	0.15	0.354	0.009888
PDE4D	1.029	2.7	0.931	0.365	1.104	0.987	1.12	0.448	0.534	0.112	1.821	2.073	2.34	0.537	0.868	2.017
PDE4DIP	4.129	3.083	1.508	2.099	1.482	1.998	2.734	3.573	2.104	1.974	5.89	6.505	3.629	2.885	6.231	5.719
PDE5A	1.327	3.45	1.567	0.248	0.59	0.093	0.591	2.906	2.667	0.058	0.827	1.902	1.907	0.564	2.063	1.895
PDE6A	0.382	0.08	0.241	0.192	0.328	0.051	0.156	0.929	0.212	0	0.088	0.055	0.14	1.357	0.058	0.051
PDE6B	0.334	0.099	0.058	0.054	0.196	0.014	0.301	0.096	0.319	0	0.14	0.363	0.052	0.437	0.01	0.356
PDE6C	0.689	0.017	0.115	0.107	0.623	0	0.062	0	0	0	0.019	0.013	0.021	0.816	0.012	0
PDE6D	0.867	0.808	1.645	0.457	2.069	1.331	2.368	0.102	5.113	1.123	4.003	2.233	1.634	1.214	1.778	0.976
PDE6G	0.21	0	0	0.125	0	0	0.359	0.334	0	0	0.054	0.152	0.06	0.095	0.035	0.112
PDE6H	0.576	0	0	0	0	0	0.049	0	0	0	0	0	0	0.519	0	0
PDE7A	4.325	2.017	1.383	0.466	1.156	0.68	4.97	0.216	0.845	1.773	5.287	9.123	2.536	0.864	2.545	9.949
PDE7B	0.54	0.941	0.379	0.225	0.146	0.053	0.259	0.127	0.384	0	0.605	0.492	0.35	0.792	0.174	0.48
PDE8A	1.604	3.421	3.544	4.024	6.747	4.233	1.114	0.473	3.4	0.613	4.44	3.039	7.781	3.102	4.342	2.681
PDE8B	0.586	0.798	0.124	0.275	0.032	0.305	0.259	0.052	0.088	0	0.075	0.151	0.221	0.638	0.008203	0.313
PDE9A	0.437	0.566	0.861	1.412	4.468	0.758	0.166	0	1.749	0.189	1.147	0.493	0.907	0.306	0.212	0.441
PDF	0.093	0.043	0.294	1.158	0	0.166	0	0	0	0.723	0	0	0.421	0.167	0.406	0
PDGFA	0.46	1.751	4.874	1.159	4.2	0.547	0.209	0.162	7.037	6.704	0.354	0.333	4.185	0.311	2.187	0.307
PDGFB	0.282	0.614	0.377	0.335	0.391	1.371	0.204	0.731	0.791	0.854	0.274	0.443	0.71	0.282	2.137	0.452
PDGFC	0.608	3.488	2.785	2.186	1.123	1.979	0.342	0.076	4.563	1.252	1.139	0.882	2.45	2.127	13.322	1.203
PDGFD	0.566	7.97	0.478	0.112	0.406	0.505	0.516	0.771	2.499	0	0.609	1.182	0.397	0.194	0.199	0.892
PDGFRA	1.998	22.013	2.435	1.136	1.759	7.245	1.007	2.011	11.875	0.891	4.404	2.616	3.307	1.136	6.92	2.596
PDGFRB	1.846	18.553	7.117	1.363	3.142	2.966	1.248	4.687	18.721	2.124	3.026	2.894	4.519	0.492	10.345	2.524
PDGFRL	0.113	1.107	0	0.034	0.073	0	0.019	0	2.187	0	0.087	0.348	0.064	0.153	0.626	0.03
PDHA1	1.872	3.478	6.546	6.482	12.797	5.271	2.464	1.755	7.911	1.79	5.073	3.67	5.106	1.935	5.275	4.358
PDHA2	0.388	0	0	0	0	0	0.053	0	0	0	0	0	0.044	0.979	0	0
PDHB	2.397	3.583	7.405	7.025	4.939	2.358	1.878	0.597	4.273	1.37	9.081	5.312	4.148	3.555	7.288	4.553
PDHX	2.522	2.671	4.354	3.483	3.887	2.105	2.043	2.098	5.718	4.482	3.975	3.394	3.017	1.687	5.938	3.365
PDIA2	0.062	0	0	0	0	0	0.043	0.066	0	0	0	0	0.035	0	0.042	0
PDIA3	8.001	18.523	27.501	37.926	36.435	16.066	5.201	7.352	38.221	19.733	41.463	18.057	44.433	8.793	85.849	14.412
PDIA4	3.282	5.611	16.037	37.16	21.802	14.523	2.479	5.058	18.042	15.027	19.82	10.133	26.079	7.159	60.92	7.747
PDIA5	1.445	2.345	5.597	12.585	1.963	5.002	0.987	0.122	7.702	6.743	2.789	2.241	5.037	7.602	5.434	1.574
PDIA6	6.289	12.635	28.938	25.946	35.217	12.291	4.88	2.497	42.399	10.606	36.571	16.384	32.075	7.538	85.165	16.833
PDIK1L	1.474	1.495	0.977	1.11	1.036	1.085	1.023	0.025	0.864	1.456	5.777	2.789	1.734	1.033	2.152	2.473
PDILT	0.354	0	0	0.03	0.044	0.226	0	0	0	0	0	0	0.029	0.593	0	0
PDK1	3.27	3.73	6.431	1.298	2.295	2.098	4.002	0.523	5.23	1.372	5.578	10.253	2.848	0.996	4.501	8.89
PDK2	0.444	0.355	2.229	2.767	0.75	1.628	0.314	0.437	1.209	0.247	1.352	0.552	1.095	0.857	3.462	0.508
PDK3	1.811	1.284	2.484	0.851	2.677	0.515	1.811	2.152	2.235	0.924	2.574	4.121	3.82	0.959	0.415	3.289
PDK4	1.746	2.049	3.351	1.708	3.176	15.402	0.616	1.848	5.351	0.339	0.776	2.045	3.128	6.786	0.43	6.041
PDLIM1	2.817	14.243	13.886	15.303	12.714	8.266	3.115	0.078	10.677	9.223	7.496	5.318	7.928	4.206	22.471	5.501
PDLIM2	0.22	0.891	0.314	0.545	0.15	1.024	0.778	0	0.524	0.286	0.349	0.652	0.426	0.48	0.653	0.51
PDLIM3	1.735	2.377	3.36	1.134	1.826	2.131	0.895	5.547	4.333	1.514	0.709	1.513	1.742	0.351	6	4.365
PDLIM4	0.422	1.334	0.208	0.056	0.242	1.046	0.288	0	1.084	0.182	0.096	0.221	0.186	0.169	0.724	0.351
PDLIM5	2.434	9.523	6.022	10.487	6.241	5.889	1.596	1.028	11.591	8.222	4.809	3.818	9.851	4.418	14.911	5.204
PDLIM7	0.571	4.018	2.43	0.739	1.785	1.25	0.886	7.748	4.033	3.632	1.172	0.677	3.083	0.467	6.411	0.554
PDP1	1.717	4.555	9.287	0.717	6.485	0.388	1.867	0.205	3.773	0.282	2.606	3.898	7.278	0.74	33.447	3.523
PDP2	0.842	0.692	2.131	0.881	1.678	0.806	0.512	0.049	1.401	0	1.288	0.982	0.702	0.924	1.269	0.866
PDPK1	2.318	2.918	2.511	2.733	4.523	0.63	2.371	1.023	2.247	2.138	5.446	3.651	6.988	1.633	5.942	3.546
PDPN	1.048	7.192	0.389	0.107	0.435	0.209	0.568	0.535	5.333	2.668	1.298	1.034	0.307	0.455	4.717	1.273
PDPR	2.046	3.113	4.369	1.916	2.21	1.458	3.052	0.684	1.672	0.68	4.71	5.241	1.987	1.03	6.966	3.426
PDRG1	0.941	0.439	3.919	1.302	2.831	0.734	0.67	0	0.776	0	1.569	0.881	1.198	0.635	2.132	0.711
PDS5A	5.996	8.243	6.369	4.919	12.009	5.576	6.691	1.951	6.342	2.039	7.879	13.337	11.509	3.421	19.209	12.848
PDS5B	2.642	3.796	4.252	1.235	6.843	1.21	2.378	0.319	4.303	0.112	3.014	4.983	3.322	1.241	10.766	4.858
PDSS1	1.463	1.054	1.641	0.868	1.229	0	0.727	0.07	0.978	0	2.15	1.421	2.934	1.258	2.678	1.526
PDSS2	1.394	1.258	4.622	2.876	1.042	1.46	0.807	1.604	2.373	2.356	1.104	2.207	3.018	1.829	2.523	2.022
PDX1	0.251	0.02	0.106	0.149	0.863	0.037	0.071	0.044	0.075	0	0.086	0	0.71	0.113	0	0
PDXDC1	4.884	10.012	11.429	16.174	17.672	9.36	4.281	3.694	11.129	7.825	22.231	8.994	20.12	7.88	16.567	8.495
PDXK	1.473	2.72	3.775	2.223	6.651	3.051	1.803	6.671	4.127	2.325	8.039	1.971	3.276	0.88	7.965	2.203
PDXP	0.161	0.125	0.883	1.911	0.508	0.096	0.367	0	0	0.835	0.468	0.428	0.699	0.629	1.063	0.344
PDYN	0.215	0	0.023	0.085	0.184	0	0.085	0	0.054	0	0	0	0	0.129	0	0
PDZD11	2.333	3.505	4.975	2.101	7.13	1.387	1.653	2.836	7.751	2.015	6.03	2.911	5.621	0.7	13.514	2.582
PDZD2	0.693	0.966	0.094	0.066	0.048	0	0.572	0.00979	0.818	0.036	0.119	0.747	0.068	0.275	0.472	0.982
PDZD3	0.188	0	1.519	0	0.829	0	0.048	0	0.028	0	0	0.017	0.426	0.17	0.063	0.025
PDZD4	0.086	0.483	0.091	0.119	0.086	0.308	0.088	0.091	0.285	0	0.015	0.083	0.081	0.078	0.096	0.123
PDZD7	0.219	0.023	0.031	0.072	0.126	0	0.025	0.052	0.037	0	0.05	0.026	0.055	0.066	0.098	0
