Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
MCTP1	0.299	2.86	0.059	2.081	0.359	6.662	0.466	2	0.165	0.885	0.835	6.175	0.115	1.175	1.426	0.317
MCTP2	0.351	6.789	0.296	7.737	0.462	5.632	4.758	9.645	0.858	4.727	2.335	5.53	1.006	3.663	2.854	0.798
MCTS1	0.281	1.713	0.128	0.672	0.399	4.464	1.722	2.236	0.597	3.335	0.672	1.992	0.485	2.107	2.251	0.51
MCU	0.432	4.485	0.146	0.682	0.247	4.325	2.766	6.059	0.477	8.045	1.45	4.372	0.81	6.321	7.093	1.532
MDC1	0.498	3.899	0.518	1.034	0.587	3.852	1.323	1.171	0.452	1.117	0.761	2.389	1.242	2.875	2.69	0.689
MDFI	0.533	3.652	0.157	0.468	0.214	1.355	1.767	4.876	0.589	6.495	1.679	3.042	0.412	3.1	3.972	0.679
MDFIC	0.43	6.116	0.553	1.739	0.501	8.919	4.675	8.886	0.819	8.119	1.508	7.315	2.684	17.509	4.504	1.293
MDGA1	0.048	0.606	0.029	0.287	0.097	0.566	0.151	0.452	0.053	0.252	0.02	0.12	0.056	0.099	0.249	0.092
MDGA2	0	0	0	0	0	0.003538	0	0.006561	0	0	0	0	0	0.062	0.55	0.024
MDH1	0.801	5.766	0.135	3.675	0.459	16.42	2.588	19.985	1.011	25.954	1.249	9.297	1.148	19.516	37.782	2.404
MDH1B	0	0.188	0.109	0.05	0	0.25	0.072	0.056	0	0.048	0	0.121	0	0.168	0.269	0
MDH2	0.826	35.447	1.363	5.034	3.177	30.597	9.203	39.263	2.187	57.233	2.356	23.474	5.352	52.936	56.79	5.255
MDK	2.691	30.106	1.209	10.059	6.266	89.85	10.637	33.58	3.536	58.906	3.333	13.629	4.945	37.969	63.194	11.582
MDM1	0.172	1.573	0.102	0.581	0.138	1.88	0.772	1.49	0.333	1.382	0.506	1.676	0.266	1.61	1.852	0.549
MDM2	1.068	14.031	1.328	5.372	2.013	23.641	10.832	19.85	3.727	18.939	6.297	28.329	5.435	31.166	19.089	4.078
MDM4	1.049	10.252	1.338	5.219	1.081	8.841	11.677	14.267	2.031	8.651	3.466	12.071	4.113	12.321	6.087	2.084
MDN1	0.521	7.081	0.468	2.976	0.676	5.808	2.918	4.637	0.834	3.29	2.101	6.259	1.617	7.5	7.056	1.302
MDP1	0	0.933	0	0.298	0.221	1.004	0.108	1.814	0	3.407	0	0.645	0	1.746	1.559	0.176
ME1	0.306	7.085	0.289	0.331	0.246	4.21	0.31	0.652	0.203	0.374	0.411	1.046	0.047	1.023	8.961	1.443
ME2	0.14	4.035	0.385	1.421	0.449	9.887	3.853	8.197	0.721	9.301	1.291	6.703	1.152	9.694	8.112	1.603
ME3	0.084	1.018	0.099	2.414	0	2.175	1.108	3.202	0.277	3.138	0.491	1.944	1.033	4.773	1.586	0.373
MEA1	3.478	18.226	0.879	2.815	1.992	33.185	6.585	21.754	3.565	28.844	3.544	13.425	3.451	23.836	17.441	2.53
MEAF6	0.134	4.086	0.264	1.195	0.431	4.969	3.663	8.032	0.692	8.405	1.277	4.689	1.209	8.353	6.361	1.026
MECOM	1.359	24.853	1.379	11.548	2.051	25.431	17.522	39.085	4.847	28.617	6.522	21.936	4.877	30.343	54.437	6.696
MECP2	0.548	4.3	0.248	1.085	0.473	5.572	2.503	3.618	0.721	4.039	0.884	3.365	0.943	3.276	3.561	0.871
MECR	0.177	1.258	0.105	1.052	0	1.156	0.76	2.412	0	1.795	0.149	1.668	0.205	1.808	2.807	0.282
MED1	0.45	4.357	0.219	1.799	0.424	5.713	5.013	8.361	1.373	7.51	1.532	6.437	1.43	8.091	10.374	2.274
MED10	0.42	3.688	0.247	1.302	1.177	10.129	3.434	4.805	0.463	5.803	1.056	3.755	0.486	5.295	1.696	1.068
MED11	0	1.919	0.304	1.531	0	4.809	1.609	3.679	0.285	3.618	1.732	2.873	0.597	5.012	1.932	0.164
MED12	0.464	9.091	0.329	2.671	0.868	7.009	2.762	6.443	1.093	7.933	1.818	6.419	1.457	8.77	7.707	1.339
MED12L	0.042	0.155	0.025	0.107	0	0.27	0.024	0.135	0	0.057	0	0.138	0.032	0.13	1.654	0.239
MED13	0.927	9.335	0.826	4.786	1.123	14.365	8.867	20.645	2.388	19.493	3.441	15.391	2.847	17.916	26.164	3.686
MED13L	0.851	12.742	1.139	3.722	1.235	13.24	5.951	10.018	1.853	9.935	2.663	12.262	2.502	11.974	12.834	2.283
MED14	0.637	6.797	0.376	2.673	0.741	8.158	3.639	6.445	0.598	8.69	1.711	6.244	1.475	7.445	6.445	1.156
MED15	0.256	5.228	0.452	2.275	0.41	7.099	2.49	5.169	0.423	5.219	0.965	4.752	0.69	4.158	6.932	1.424
MED16	0	2.817	0.087	1.094	0.355	2.894	0.92	3.646	0.326	6.149	0.743	2.611	0.398	3.408	4.629	0.469
MED17	0.432	3.44	0.218	0.749	0.395	4.61	2.572	6.711	0.272	5.278	1.035	6.157	0.904	8.728	7.94	1.178
MED18	0.115	0.975	0	0.405	0.277	2.613	1.529	3.76	0.509	3.431	0.484	1.796	0.534	2.58	2.215	0.367
MED19	0	2.165	0	0.538	0	1.831	1.831	2.239	0.157	2.218	0.478	2.984	0.879	4.407	5.762	1.993
MED20	0.261	2.854	0.205	0.563	0.07	6.238	1.255	4.709	0.48	4.091	0.365	3.09	0.873	5.412	4.319	0.443
MED21	0.369	3.826	0.145	1.162	0.69	10.056	2.253	10.303	0	9.442	0.31	4.739	0.76	7.445	9.374	0.861
MED22	0.111	1.243	0.131	0.361	0.268	1.422	0.391	1.849	0.307	2.582	0.234	1.257	0.172	1.168	1.503	0.425
MED23	0.27	6.63	0.364	3.031	0.371	10.979	3.401	10.741	0.767	9.47	1.101	7.826	1.49	10.898	4.587	0.958
MED24	0.173	3.609	0.068	2.086	0.324	4.26	2.407	7.332	0.637	8.888	1.404	5.038	1.336	4.705	7.073	0.698
MED25	0.46	2.24	0.217	1.093	0.295	1.621	1.363	3.667	0.508	5.02	0.772	1.679	0.923	2.366	1.898	0.82
MED26	0	1.649	0.16	0.676	0.217	1.199	0.528	1.241	0.224	1.803	0.455	1.232	0.68	1.615	1.574	0.388
MED27	0	1.337	0	0.841	0.096	1.028	0.701	1.15	0	1.121	0.101	1.242	0.093	1.243	1.646	0.305
MED28	1.01	7.512	0.397	3.27	1.484	10.937	5.905	14.755	1.487	10.603	3.673	11.741	3.898	22.035	9.526	1.822
MED29	0.181	4.251	0.428	1.337	0.582	5.291	1.909	5.304	0.534	7.584	0.913	3.523	1.073	4.013	7.525	1.154
MED30	0	1.35	0.262	0.838	0	6.163	0.951	5.868	0	8.327	0.372	1.673	0.171	3.62	3.996	0.424
MED31	0	1.673	0	1.019	0.104	2.767	1.066	1.733	0.144	1.691	0.546	2.09	0.302	3.226	1.703	0
MED4	0.283	3.475	0.334	1.832	1.512	8.253	5.696	11.027	1.353	9.27	1.662	6.723	1.237	7.916	4.966	1.44
MED6	0.16	11.608	0.379	3.549	0.257	10.978	3.002	10.388	1.417	12.648	1.885	11.729	1.238	14.529	10.949	1.328
MED7	0.146	2.471	0.69	1.341	0.234	3.857	1.425	5.889	0.807	5.658	1.35	4.601	0.677	6.728	6.405	0.558
MED8	0.597	4.478	0.282	1.835	1.052	6.886	2.884	8.046	0.263	11.608	1.903	6.054	1.289	7.594	12.23	1.899
MED9	0	2.034	0.114	0.576	0	1.882	0.567	1.904	0.107	2.458	0.814	1.77	0.15	2.531	2.135	0.432
MEDAG	0	0.061	0	0.122	0.072	0.74	0.387	0.398	0	0.609	0.076	0.948	0	0.633	0.365	0.459
MEF2A	0.729	6.429	0.344	3.106	0.847	9.661	6.007	8.572	1.327	6.35	2.507	9.229	2.081	8.874	5.665	1.925
MEF2B	0	0	0	0	0.119	0.055	0	0.128	0.164	0.019	0.125	0.036	0	0	0.062	0
MEF2BNB	0.101	0.205	0	0.219	0.081	0.897	0.039	0.849	0	0.618	0.085	0.315	0.391	0.376	0.451	0
MEF2BNB-MEF2B	0	0.336	0	0.626	0	0.443	0.043	0.468	0	0.416	0	0.473	0	0.205	0.506	0.281
MEF2C	0.063	2.209	0.148	0.559	0.403	3.54	0.478	1.958	0.139	0.877	0.606	3.945	0.582	4.168	1.642	0.38
MEF2D	0.551	5.002	0.26	1.05	0.412	2.601	2.189	2.567	0.729	2.384	1.14	3.659	1.502	2.775	2.051	0.981
MEFV	0.059	0.516	0.069	0.048	0.047	1.05	0.069	0.056	0	0.053	0.049	0.694	0.045	0.12	0.272	0.112
MEGF10	0	0.142	0	0.038	0	0.021	0.131	0.252	0.031	0.302	0	0.074	0.022	0.091	0.047	0.036
MEGF11	0	0	0	0.049	0	0.051	0.028	0.047	0	0.038	0.031	0.076	0	0.054	0.065	0
MEGF6	0.261	0.99	0.239	0.493	0.558	1.945	5.197	5.518	1.6	5.12	1.265	2.154	1.499	2.095	0.744	0.96
MEGF8	0.236	1.808	0.209	0.531	0.284	1.274	0.935	1.292	0.369	1.719	0.512	1.29	0.668	1.608	2.442	0.538
MEGF9	0.243	2.348	0.164	0.796	0.084	3.548	1.678	4.694	0.307	4.546	0.991	3.792	0.456	3.325	11.892	2.166
MEI1	0.054	0.2	0	0.087	0.173	0.316	0	0.074	0	0.021	0	0.293	0	0.075	0.237	0
MEIG1	0	0	0	0.186	0	0.096	0	0.03	0.381	0.045	0	0.319	0	0.241	0	0
MEIOB	0	0	0	0.031	0	0	0	0	0	0.015	0	0	0	0.048	0.177	0
MEIS1	0.814	7.999	1.04	2.341	0.435	4.847	4.095	9.78	1.122	8.971	0.853	6.265	1.256	5.392	5.017	1.64
MEIS2	0.098	1.764	0.115	1.092	0.469	4	1.178	2.445	0.861	2.331	0.655	2.052	0.866	2.992	0.977	1.055
MEIS3	0	0.303	0	0	0.08	0.251	0.388	0.43	0.549	3.064	0.418	0.901	0	0.449	0.722	0.444
MELK	0.52	4.106	0.205	0.351	0.209	5.805	0.811	1.567	0.479	7.289	0.364	2.342	0.937	12.435	10.23	0.773
MEMO1	0.713	14.629	0.421	3.977	0.572	19.159	8.108	17.396	1.968	22.478	2.694	16.195	1.835	21.606	19.581	2.648
MEN1	0.118	2.959	0.14	1.053	0.569	4.333	1.06	5.261	0.261	5.93	0.645	2.402	1.096	6.244	5.21	0.828
MEOX1	0	0.156	0	0.05	0.37	0.945	0	0.55	0	0	0	0.812	0.142	0.609	0.181	0.176
MEOX2	0	0	0	0	0	0.28	0	0.039	0	0	0	0.164	0	0.118	0.092	0.058
MEP1A	0	0.025	0	0.457	0	0.11	0	0.013	0	0	0	0.021	0	0.034	0.035	0
MEP1B	0	0	0	0.075	0	0	0	0.024	0	0	0	0.041	0	0.087	0.072	0
MEPCE	0.46	7.133	0.31	1.153	0.632	5.091	2.177	5.499	0.653	6.828	0.993	4.52	0.964	6.501	5.688	0.92
MEPE	0	0	0	0	0	0	0	0.033	0	0.049	0	0.06	0.073	0.057	0.056	0
MERTK	0.178	4.102	0.07	1.604	0.524	5.643	2.619	5.562	0.919	11.585	1.048	6.187	1.698	9.38	5.632	1.287
MESDC1	0.071	1.888	0.083	1.049	0.227	3.795	2.066	6.403	0.234	7.995	0.652	2.451	0.818	4.419	2.781	0.405
MESDC2	0.407	6.546	0.3	2.002	0.652	7.272	4.318	9.937	1.29	8.567	2.26	5.935	1.294	8.436	6.51	1.909
MESP1	0	0	0	0	0	0.017	0	0.064	0	0	0	0	0	0.017	0.507	0.118
MESP2	0	0	0	0	0	0	0	0.012	0	0	0	0.019	0	0.043	0.071	0
MEST	0.287	3.223	0.085	0.309	0.287	4.15	1.034	4.802	0.317	9.189	1.504	6.942	2.103	22.097	1.321	0.821
MET	0.388	7.142	0.305	2.396	1.243	18.905	4.155	15.415	1.141	14.053	2.06	9.503	1.247	11.528	6.653	0.679
METAP1	1.479	17.529	1.102	4.579	2.06	29.527	11.075	21.903	2.234	20.908	4.05	14.006	2.584	26.583	21.065	2.973
METAP1D	0	2.614	0	0.91	0.338	2.974	0.986	1.677	0.31	1.26	0.472	2.427	0.434	2.267	2.398	0.537
METAP2	0.738	13.017	0.943	2.373	1.183	15.984	5.442	12.505	2.105	14.841	3.871	10.345	3.418	17.635	14.511	4.581
METRN	0	0.734	0	0	0	0.699	0.077	0.563	0	0.41	0	0.144	0	0.257	0.223	0.126
METRNL	0.971	2.297	0.191	0.567	0.13	2.624	2.585	8.306	1.071	6.324	0.95	3.887	1.124	4.264	10.414	2.368
METTL1	0	1.785	0.584	0.979	0.132	3.706	0.386	3.152	0	3.535	0.277	2.584	0.127	3.206	4.923	1.05
METTL10	0.251	3.675	0.099	0.835	0.201	3.242	2.249	3.946	0.277	3.366	0.982	4.034	0.839	5.123	2.679	0.639
METTL11B	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0.043	0.123	0
METTL12	0	0.528	0	0.084	0.125	0.756	0.243	0.553	0.172	0.588	0	0.592	0.12	0.87	0.473	0
METTL13	0.253	5.435	0.224	1.264	0.203	3.463	2.418	4.497	0.489	3.37	1.328	5.018	0.977	4.949	6.118	1.007
METTL14	0.305	10.592	0.24	3.43	1.549	11.691	4.004	9.628	1.235	6.882	1.366	8.252	1.963	10.658	6.542	0.906
METTL15	0.147	1.882	0	1.515	0.235	4.429	1.37	3.335	0.323	2.619	0.328	1.952	0.264	2.47	2.145	0.218
METTL16	0.449	1.937	0.353	1.091	0.48	6.039	1.241	2.946	0.455	2.675	0.723	4.047	0.983	6.091	3.181	0.501
METTL17	0.483	6.776	0	1.857	0.871	4.704	2.353	8.036	0.533	8.53	1.115	6.29	0.839	6.892	5.354	0.769
METTL18	0.146	3.806	0	0.868	0.117	3.897	1.083	4.044	0.646	5.259	1.84	2.453	0.79	5.532	4.762	0.651
METTL20	0	0.643	0	0.147	0.073	0.65	0.071	0.665	0.1	0.682	0.152	0.617	0.21	0.61	0.49	0.115
METTL21A	0.087	0.62	0	0.365	0.245	1.234	0.324	1.016	0.241	0.806	0.22	0.852	0.472	1.312	0.873	0.222
METTL21B	0.152	0.898	0.09	0.533	0.122	2.053	0.74	1.654	0.084	1.193	0.255	1.462	0.352	1.345	1.345	0.29
METTL21C	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0.046	0.154	0
METTL21D	0.121	2.166	0.143	0.88	0.388	3.684	1.225	2.56	0.267	1.617	0.406	2.669	0.28	3.141	2.227	0.692
METTL22	0	2.182	0.162	1.223	0	1.933	0.482	1.971	0.303	2.283	0.346	2.331	0.636	1.845	1.862	0.35
METTL23	0	2.659	0.387	2.564	0.131	6.873	2.619	11.175	0.181	11.449	0.825	4.511	0.379	5.713	5.279	1.356
METTL24	0	0.199	0	0	0	0.292	0.076	0.186	0	0.102	0	0.41	0.454	0.883	0.431	0.125
METTL25	0.103	1.461	0.121	0.86	0.165	4.392	0.722	2.864	0.114	2.392	0.691	2.847	0.873	2.669	0.905	0.393
METTL2A	0.171	1.679	0.303	0.947	0.275	4.692	1.368	4.891	0.189	6.081	0.862	2.948	0.595	5.281	4.473	0.708
METTL2B	0.198	4.009	0.117	1.76	0.634	5.933	2.735	4.775	1.418	6.302	1.327	5.191	1.907	7.75	5.663	1.195
METTL3	0.221	9.285	0.39	2.916	0.619	8.184	4.17	17.543	0.974	17.247	1.574	11.98	1.532	16.602	11.796	1.334
METTL4	0.176	2.639	0.069	1.314	0.188	2.861	0.824	2.527	0.194	1.646	0.788	2.649	0.091	1.683	2.369	0.411
METTL5	1.378	16.227	0.271	5.576	2.762	23.804	9.399	21.042	3.803	25.858	5.011	12.957	2.836	22.546	22.088	4.97
METTL6	0	2.392	0.407	0.698	0.346	3.603	1.11	3.081	0.572	2.028	0.29	2.942	0.599	3.418	2.144	0.494
METTL7A	1.336	20.904	0.375	12.871	1.122	17.859	10.76	37.571	1.966	19.802	5.712	17.79	4.762	37.233	51.766	6.641
METTL7B	0	0.533	0	0.155	0	0.2	0.112	0.446	0	0.744	0	0.369	0	0.28	4.043	0.82
METTL8	0.292	2.975	0.094	0.601	0.34	3.383	1.529	1.81	0.527	1.436	0.734	2.546	0.941	3.312	3.126	1.046
METTL9	0.742	11.386	0.398	1.948	0.92	16.968	5.367	21.703	1.118	21.668	2.549	11.637	1.615	21.039	11.579	1.633
MEX3A	0.352	0.762	0.166	0.142	0.254	1.136	2.223	2.164	0.7	2.826	2.187	6.128	2.99	11.497	10.231	2.286
MEX3B	0	0.062	0	0	0	0.125	0.048	0.074	0	0.024	0.051	0.348	0	0.477	2.469	0.35
MEX3C	0.625	5.861	0.676	1.011	0.96	14.748	4.444	13.019	0.805	11.535	1.835	9.853	1.647	14.119	10.863	1.856
MEX3D	0.227	5.039	0.089	0.265	0.243	2.927	0.708	4.048	0	7.104	0.444	2.3	0.175	4.08	5.901	0.482
MFAP1	0.418	5.796	0.37	1.438	0.922	7.843	3.219	6.668	0.808	6.692	1.579	4.55	0.645	6.511	7.357	1.863
MFAP2	0	1.302	0	0	0.441	4.581	0.5	1.046	0.405	8.025	0.616	2.729	0.566	3.017	5.232	2.568
MFAP3	0.242	3.191	0.19	0.969	0.259	6.084	2.122	7.047	0.401	6.648	0.88	5.378	0.716	7.57	10.536	0.976
MFAP3L	0.376	5.633	0.161	1.098	0.165	1.744	5.401	13.479	1.435	13.485	1.866	7.273	1.743	14.758	5.77	1.067
MFAP4	0.22	1.784	0	0.475	0.793	3.916	1.114	5.57	0	1.028	0.461	2.519	0.849	3.501	2.857	2.03
MFAP5	0	0	0	0.02	0	0.126	0	0.071	0	0.029	0.063	0.113	0.058	0.146	0.12	1.095
MFF	0.429	8.121	0.506	3.703	0.516	14.213	3.845	12.457	1.42	9.971	1.44	9.377	1.572	10.647	7.923	1.502
MFGE8	0.651	2.163	0	0.263	0	3.82	0.718	4.667	0.598	5.519	1.82	5.79	0.753	5.372	2.868	1.656
MFHAS1	0	1.762	0.339	0.421	0.263	3.27	0.64	0.958	0	1.135	0.482	1.661	0.127	0.851	2.205	0.444
MFI2	0.045	0.152	0.053	0.06	0.036	0.23	0.035	0.023	0	0.052	0.113	0.203	0.069	0.419	0.197	0.2
MFN1	0.552	11.022	0.506	4.447	1.228	18.975	5.852	19.953	1.015	16.299	1.954	11.678	1.655	14.989	18.323	2.262
MFN2	0.876	12.813	0.653	4.49	0.998	13.981	4.457	13.196	1.323	13.431	2.128	7.526	2.349	12.806	24.727	2.964
MFNG	0	0.512	0	0.054	0.081	0.894	0	0.558	0	0.039	0	0.692	0.078	0.371	0.33	0
MFRP	0	0.149	0	0.015	0.132	0.339	0.15	0.533	0	0.114	0.092	0.353	0.085	0.512	0.255	0.14
MFSD1	1.643	39.94	1.723	3.867	2.854	59.689	6.832	28.552	1.612	32.38	2.375	12.345	1.339	16.003	20.281	5.172
MFSD10	0	4.374	0.248	1.249	0.084	6.158	1.886	8.311	1.045	10.587	0.618	4.364	0.731	7.491	2.139	0.804
MFSD11	0.059	2.49	0	1.923	0.143	6.394	2.106	7.089	0.459	6.911	0.548	4.278	0.504	6.035	4.805	0.567
MFSD12	0.153	1.733	0.09	0.764	0.123	2.589	0.835	2.428	0.169	3.886	0.385	1.824	0.472	1.932	3.53	0.779
MFSD2A	0.392	4.14	0.231	1.797	0.236	2.484	1.298	4.649	0.216	4.263	0.904	3.326	0.378	3.994	2.434	0.374
MFSD2B	0	0	0	0	0	0	0	0.012	0	0	0	0.042	0	0.033	0.068	0
MFSD3	0	0.353	0	0.443	0.12	1.223	0.058	1.843	0	1.666	0.501	0.515	0.23	0.686	0.683	0.095
MFSD4	0	0.107	0.062	0.028	0.169	2.095	0.164	0.461	0	0.199	0.089	0.128	0.204	0.353	0.204	0
MFSD5	0.195	1.448	0.115	0.341	0	1.996	0.721	4.87	0	7.633	0.245	1.751	0.451	3.868	8.26	0.372
MFSD6	1.304	20.244	0.477	2.523	1.658	20.641	9.199	20.283	2.928	25.582	2.414	10.722	2.394	15.457	17.749	3.548
MFSD6L	0	0.13	0	0.026	0.077	0.153	0.263	0.424	0	0.163	0.081	0.567	0.074	0.394	0.692	0.123
MFSD7	0	0.234	0	0.156	0	0.194	0	0.31	0	0.045	0.097	0.377	0.089	0.666	0.151	0.147
MFSD8	0.095	4.363	0.224	1.882	0.304	4.325	1.831	5.085	0.262	3.863	0.518	3.512	0.732	4.433	1.467	0.332
MFSD9	0.08	2.829	0.094	0.602	0.128	2.162	1.926	2.886	0.44	3.405	1.003	2.07	0.923	2.667	8.209	2.08
MGA	0.895	10.855	0.739	3.86	1.005	9.645	6.624	9.927	1.799	7.184	3.066	13.421	2.944	15.208	13.367	2.371
MGAM	0.067	0.416	0	0.036	0.027	0.22	0.039	0.078	0	0.013	0.028	0.961	0	0.182	0.138	0.064
MGARP	0.161	0.054	0	0.043	0	0.075	0.063	0.125	0	0.042	0.135	0.039	0	0.097	0.086	0
MGAT1	0.876	10.886	0.517	2.925	0.966	7.728	4.888	13.215	1.028	17.26	3.401	15.235	2.705	17.164	38.016	5.229
MGAT2	0.318	3.227	0.282	0.708	0.638	13.65	2.48	10.148	0.527	13.77	1.001	6.155	0.614	7.927	6.01	0.506
MGAT3	0.166	0.28	0.098	0.123	0.166	0.313	2.501	3.399	0.64	5.925	0.556	0.908	0.351	3.167	4.166	0.58
MGAT4A	0.203	2.363	0.149	0.711	0.162	4.499	1.796	3.638	0.252	2.983	1.105	4.431	0.977	7.621	5.308	0.919
MGAT4B	0.32	10.081	0.226	2.71	0.616	8.398	5.138	16.422	1.201	26.077	1.879	9.306	1.235	7.308	11.59	1.792
MGAT4C	0	0	0	0	0	0	0	0.009638	0	0	0	0.054	0	0.057	0.08	0
MGAT5	0.45	4.86	0.344	1.057	0.361	5.607	2.6	8.321	0.468	8.128	1.666	7.263	1.369	9.925	10.76	1.449
MGAT5B	0	0	0	0	0	0.004519	0	0	0	0.013	0	0.024	0	0.036	0.19	0.031
MGEA5	2.695	32.738	1.369	5.883	2.526	19.884	19.486	27.354	5.445	29.863	8.349	30.3	9.502	32.488	22.806	6.65
MGLL	0.09	1.137	0.106	0.145	0.144	0.698	0.489	1.671	0.099	0.344	0.301	1.378	0.242	0.875	3.553	1.056
MGMT	0.17	3.573	0.201	1.242	0.137	0.858	1.196	5.776	0.188	4.981	1.287	3.847	0.789	3.851	2.483	1.085
MGP	0.586	6.682	0	0.671	1.995	14.465	2.796	8.187	0.485	4.639	2.334	22.643	1.356	19.524	24.871	17.799
MGRN1	0.267	2.952	0.236	1.322	0.588	2.159	2.299	2.699	0.589	2.843	1.007	2.807	1.337	2.303	3.348	1.697
MGST1	0.916	13.1	0.648	9.688	0.661	23.149	11.461	34.849	2.225	50.49	2.767	10.693	2.263	25.132	25.572	3.149
MGST2	0.323	8.137	0.191	2.876	0.518	13.942	4.47	20.944	1.07	28.551	0.678	6.23	1.247	17.292	9.333	1.028
MGST3	0.426	6.863	0.167	0.728	0.455	9.779	2.822	16.321	0.627	23.746	1.31	6.27	0.329	9.773	27.089	2.259
MIA	0	0.109	0	0.087	0	0.12	0.251	0.167	0	0.042	0	0.266	0	0.09	0.23	0
MIA2	0	0	0	0	0	0.018	0	0	0	0	0	0.018	0	0.101	0.067	0
MIA3	0.85	15.437	0.658	4.956	1.022	11.036	7.843	17.229	2.813	21.672	2.785	10.913	3.196	15.614	9.719	1.926
MIB1	1.019	17.161	0.547	1.875	0.947	13.452	5.734	11.469	1.228	9.637	2.411	10.637	2.807	17.014	8.603	2.654
MIB2	0.06	2.244	0.142	1.058	0.193	1.451	0.8	1.904	0.2	2.108	0.354	1.177	0.652	1.635	3.881	1.037
MICA	0.315	6.337	0.557	2.677	0.253	6.798	2.026	5.596	0.869	4.91	0.397	3.126	0.243	0.959	4.073	0.501
MICAL1	0.177	4.16	0.14	1.516	0.474	4.323	3.274	4.756	1.633	8.467	2.036	6.031	2.055	4.051	3.165	1.582
MICAL2	0.552	4.554	0.391	1.772	0.62	7.343	3.314	7.263	1.158	8.611	2.409	7.548	0.937	5.761	17.925	4.041
MICAL3	0.175	1.604	0.138	0.63	0.211	1.486	1.018	1.101	0.338	1.069	0.551	1.631	0.845	1.681	3.061	1.022
MICALCL	0.142	2.299	0.167	0.516	0.114	1.783	1.712	1.813	0.86	1.73	0.832	1.533	0.164	1.291	8.296	1.894
MICALL1	0.624	8.369	0.509	3.223	0.846	7.897	4.132	8.107	0.9	7.433	1.49	6.137	1.851	8.276	13.831	2.626
MICALL2	0.278	3.882	0.328	3.736	0.335	5.085	2.522	5.702	0.999	4.537	0.642	4.691	1.02	2.581	3.615	1.285
MICB	0	0.382	0.205	0.211	0.07	1.344	0.034	0.3	0	0.271	0.146	0.634	0.201	0.565	1.058	0
MICU1	0	5.944	0.285	1.197	0.323	5.533	2.295	8.867	0.801	11.185	1.15	6.872	0.685	8.727	10.048	2.002
MID1	0.691	9.407	0.466	2.076	0.376	6.252	3.836	6.663	0.899	9.547	3.395	11.664	1.466	9.023	6.59	1.272
MID1IP1	1.208	16.039	0.712	1.513	0.899	9.303	2.286	7.158	1.428	16.344	1.231	3.436	0.799	5.85	10.286	2.471
MID2	0.147	1.29	0.139	0.539	0.165	2.468	1.282	2.647	0.292	4.568	0.665	1.745	0.227	2.413	1.682	0.467
MIDN	0.341	5.401	0.134	1.871	0.593	4.944	4.099	6.064	1.255	8.041	1.479	4.292	1.448	4.81	6.33	2.388
MIEN1	0	3.094	0.337	1.852	0.688	6.985	2.118	10.358	1.263	17.011	1.44	4.549	0.221	6.86	8.993	2.549
MIER1	0.559	6.766	0.484	3.187	0.807	11.645	5.433	11.32	0.987	6.433	2.033	8.746	1.438	9.459	6.649	1.779
MIER2	0.39	3.669	0	1.411	0.25	2.482	0.761	3.287	0.431	4.847	0.328	2.563	0.663	4.039	5.23	0.596
MIER3	0.207	3.266	0.245	2.181	0.399	5.225	3.378	6.892	0.961	6.37	1.009	5.909	1.248	8.746	7.224	0.66
MIF	1.153	25.211	0	4.252	1.233	37.156	4.195	36.349	0.424	58.806	3.871	18.285	2.077	46.117	76.089	5.872
MIF4GD	0.149	1.105	0.351	0.321	0.357	4.004	2.259	5.383	0.164	8.801	0.249	1.626	0.229	3.855	3.808	0.757
MIIP	0.12	1.295	0.141	0.743	0.192	2.121	0.653	2.577	0.264	3.499	0.904	1.421	0.092	1.224	2.769	0.61
MILR1	0.341	0.115	0	0.551	0	0.508	0.133	0.353	0	0.133	0.858	0.315	0	0.111	0.182	0.217
MINA	0.646	9.54	0.381	1.612	0.744	7.164	3.257	7.272	0.802	5.075	1.355	5.973	1.028	7.007	8.622	1.696
MINK1	0.513	10.427	0.757	3.762	1.235	12.461	2.934	5.11	0.756	5.128	2.333	8.264	2.113	8.24	6.909	1.879
MINOS1	0.217	1.139	0	0.205	0.131	1.946	0.572	2.627	0	2.28	0.365	1.282	0.378	2.729	2.314	0.138
