Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
LHX8	0.028	0	0.014	0.037	0	0	0.091	0.033	0	0.055	0	0	0	0.01	0.017	0	0	0	0.022	0	0	0	0	0	0.025	0	0	0	0	0
LHX9	0.026	0	0.014	0	0	0	0.144	0	0	0.011	0	0	0.014	0	0	0	0	0.023	0.021	0	0	0	0	0	0	0	0	0	0	0
LIAS	2.454	1.304	2.251	1.192	4.813	2.197	3.767	1.557	3.949	6.882	2.494	2.466	6.674	6.879	5.862	1.849	5.095	3.956	0.754	5.073	1.581	6.213	0.384	3.23	1.267	2.528	2.29	2.053	0.403	3.72
LIF	1.85	2.213	2.558	1.905	3.884	1.248	6.773	3.846	1.781	2.255	1.909	1.285	1.263	1.245	2.7	2.235	2.022	3.645	1.507	4.688	2.196	1.001	2.26	2.413	1.212	0.989	1.644	1.63	1.346	1.365
LIFR	0.272	0.886	0.622	0.727	0.119	1.174	0.26	0.4	3.528	0.946	0.356	0.597	3.045	3.822	0.8	0.603	4.968	0.975	0.784	0.388	1.084	4.852	0.91	0.639	1.369	2.813	0.515	0.244	0.38	2.605
LIG1	7.606	1.463	6.744	1.605	10.895	1.457	8.996	4.766	8.437	10.591	3.276	3.249	5.074	6.298	5.642	1.813	6.92	18.965	1.605	15.316	2.107	5.609	1.401	9.407	1.678	6.219	5.594	6.047	0.678	4.889
LIG3	4.907	1.833	5.376	2.009	7.256	2.983	6.855	3.244	9.182	8.074	2.992	3.258	7.479	7.668	8.778	2.794	7.543	16.901	3.235	9.497	1.972	6.651	2.3	5.526	2.357	4.744	5.498	3.187	0.834	4.95
LIG4	2.273	1.454	3.861	1.651	2.324	1.48	2.906	1.555	8.553	3.908	2.548	2.128	7.576	7.273	5.335	1.756	7.849	8.719	2.308	8.298	2.079	3.807	2.02	4.701	2.179	4.425	5.936	2.416	1.119	5.401
LILRA1	0.172	0.107	0.033	0.103	0.018	0.258	0.154	0.026	0.075	0.173	0.055	0.089	0.497	0.201	0.092	0.298	0.149	0.499	0.122	0	0.164	0.075	0.265	0	0.097	0.072	0	0.162	0.074	0.162
LILRA2	0.115	0.082	0.02	0.026	0.064	0	0.042	0	0.107	0.185	0.014	0	0.101	0.172	0.047	0	0.266	0.239	0.155	0.3	0.195	0.133	0.189	0	0	0	0	0.289	0	0
LILRA3	0.042	0.15	0	0	0	0	0.069	0	0.029	0.034	0.046	0.058	0.484	0.031	0.013	0.025	0.2	0.524	0	0	0	0	0	0	0.076	0.07	0.145	0.079	0	0.422
LILRA4	0	0	0	0	0	0	0	0.048	0.028	0.032	0.014	0	0.021	0.03	0	0.024	0.171	0	0	0	0	0.274	0	0	0.036	0.197	0	0	0	0.297
LILRA5	0.376	0.416	0.194	0.227	0.105	0.5	0.321	0.152	0.204	0.151	0.106	0.46	1.531	0.375	0.153	0.251	1.193	1.302	0.168	0.326	0.106	0.145	0.309	0	0.415	0.139	0.578	0.236	0	0.105
LILRA6	0.291	0.403	0.257	0.128	0.157	0.44	0.217	0.166	0.288	0.09	0.056	0.33	0.207	0.257	0.1	0.052	1.017	0.871	0.387	0.134	0.217	0.535	0.338	0.068	0.139	0.057	0.119	0.484	0.177	0.215
LILRB1	0.466	1.011	0.63	0.453	0.445	0.797	0.293	0.376	1.086	0.42	0.218	0.702	1.767	1.959	0.943	0.773	2.796	2.075	0.412	0.289	1.013	0.769	0.437	0.175	0.401	0.443	0.614	0.835	0.153	1.282
LILRB2	0.806	1.116	0.713	0.736	0.423	1.024	0.329	0.307	1.079	0.334	0.344	1.173	1.461	0.991	0.444	0.222	1.656	1.95	0.446	0.36	0.468	0.399	0.795	0.546	0.687	0.958	0.876	1.171	0.477	0.753
LILRB3	0.62	0.815	0.529	0.341	0.299	0.449	0.17	0.26	0.367	0.106	0.095	0.394	0.537	0.357	0.095	0.086	0.847	1.147	0.269	0.186	0.303	0.414	0.176	0.283	0.388	0.318	0.495	0.988	0.247	1.139
LILRB4	1.227	1.518	1.05	0.549	0.189	0.497	0.834	0.743	1.084	0.143	0.188	0.844	1.996	1.522	0.563	0.213	4.097	4.2	0.756	0.336	1.31	0.56	0.875	0.637	0.35	0.86	1.005	3.342	0.557	1.947
LILRB5	0.059	0.445	0.169	0.121	0.149	0.661	0.18	0	1.829	0.407	0.227	0.941	2.181	1.824	0.6	0.232	4.956	1.033	0.288	0.077	0.377	1.752	0.22	0.352	0.322	1.632	0.411	0	0	2.092
LIM2	0.068	0	0	0.047	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIMA1	15.624	16.208	28.66	11.65	25.544	21.39	24.771	11.651	100.383	67.378	19.725	19.334	89.334	113.614	91.443	25.583	110.957	24.833	8.186	36.364	10.159	82.571	11.168	27.356	14.248	64.793	40.849	55.162	11.641	81.954
LIMCH1	1.832	1.418	1.656	1.188	1.574	2.644	9.819	4.183	4.614	9.361	3.202	2.026	4.64	4.003	9.495	3.546	4.881	2.057	2.154	1.076	1.531	3.453	1.645	0.669	2.335	2.326	3.187	2.532	0.657	2.023
LIMD1	4.085	2.894	3.552	3.544	4.853	2.951	5.392	4.715	4.836	5.861	3.609	2.878	6.181	4.683	5.304	4.176	5.099	6.381	4.24	3.352	1.904	3.793	2.669	2.456	5.647	3.818	4.006	2.16	1.109	4.554
LIMD2	0.376	0.863	0.733	0.682	0.541	0.321	0.528	0.633	1.081	0.631	0.312	0.892	1.577	1.235	0.786	0.603	1.303	1.322	0.337	0.272	0.636	1.232	0.412	0.082	0.359	0.661	0.434	0.551	0.144	0.578
LIME1	0.731	0.28	1.102	0.612	1.032	0	1.668	0.885	0.904	1.606	0.45	1.006	1.885	1.367	1.513	0.27	1.46	1.602	0.454	1.171	0.143	1.559	0	0.222	0.508	0.187	0.583	0.635	0.194	0.424
LIMK1	1.491	1.062	1.795	1.767	2.505	1.013	2.048	2.06	1.35	2.077	0.966	2.341	1.923	1.13	1.824	1.344	1.746	3.235	1.727	2.489	1.551	1.325	0.989	1.434	1.571	1.208	2.313	2.086	1.186	1.057
LIMK2	7.582	2.855	8.659	4.241	9.394	6.063	7.235	3.786	11.469	8.455	4.504	5.742	11.186	11.547	8.362	4.81	14.542	12.444	3.816	8.531	2.516	8.859	3.148	6.009	2.86	6.693	3.713	5.448	1.171	8.162
LIMS1	7.345	7.312	7.965	5.669	9.256	4.576	8.631	8.987	8.761	12.067	4.692	3.735	10.12	8.201	6.879	3.872	9.587	16.007	7.93	10.412	7.751	6.655	7.08	9.025	6.746	6.793	12.767	11.917	5.394	8.017
LIMS2	0.087	0.777	0.416	0.608	0.127	5.107	0.192	0.687	0.442	0.272	0.286	1.411	0.4	0.384	0.153	0.328	0.378	0.175	0.739	0.568	1.494	0.302	0.914	0.258	1.97	0.29	0.302	0.369	0.075	0.164
LIMS3	0	0.039	0.029	0	0	0	0.061	0	0	0	0	0	0.029	0.021	0.017	0.067	0.072	0.099	0.045	0.144	0.281	0	0.137	0	0.05	0.092	0	0	0.191	0
LIMS3L	0	0	0	0.075	0.046	0	0.091	0.067	0.116	0.067	0	0	0.029	0.041	0.017	0.033	0.024	0	0.045	0	0.141	0	0	0	0.1	0.092	0	0.209	0	0
LIN28A	0.353	0.143	0.165	0.263	0.084	0.172	0.406	0.264	0.059	0.101	0.195	0.3	0.088	0.057	0.067	0.172	0.015	0.03	0.406	0.087	0.085	0.116	0.166	0	0.167	0.084	0.058	0	0.058	0.042
LIN28B	0.061	0.008717	0	0.008324	0.266	0	0.114	0	0	0.079	0.013	0.067	0.006414	0	0.026	0.044	0.011	8.876	3.072	0	0	0	0	0	0.011	0.02	0	0.023	0	0
LIN37	0.937	0.417	1.028	0.438	1.223	0.701	0.869	0.426	1.68	1.839	0.405	0.484	2.088	1.644	1.255	0.458	1.776	3.08	0.662	1.068	0.892	2.235	0.433	1.388	0.212	0.78	1.013	0.441	0	2.209
LIN52	1.836	1.148	1.412	1.121	2.503	1.41	2.265	0.999	2.83	2.428	0.954	1.393	3.358	2.398	2.579	1.059	2.954	2.504	1.421	1.757	0.856	1.56	0.831	0.74	1.185	1.122	1.296	1.552	0.517	1.036
LIN54	3.237	2.352	3.363	1.966	5.985	1.74	5.325	3.292	7.413	5.243	1.564	1.252	7.462	9.279	4.067	1.523	8.254	7.814	1.774	5.416	1.236	4.393	1.174	2.523	1.986	4	6.03	2.914	0.859	7.211
LIN7A	0.274	0.156	0.735	0.41	0.229	0.187	0.602	2.124	0.69	0.176	0.04	0.075	0.258	0.287	0.101	0.033	0.878	1.708	0.53	0	0.278	0	0.675	0.216	0.445	0.182	2.084	0.825	0.189	0.138
LIN7B	0.892	0.572	0.921	0.364	0.596	0.763	0.883	0.541	0.687	1.257	0.552	0.491	0.795	1.469	1.501	0.215	1.121	0.557	0.576	1.163	0.226	0.929	0	0	0.242	0.743	0.309	0.672	0.308	0.673
LIN7C	10.346	6.577	11.236	5.648	12.257	4.915	15.98	6.679	26.755	25.533	5.119	3.25	17.815	26.15	18.104	5.292	27.596	25.19	9.134	24.493	7.715	23.069	6.606	15.957	5.533	17.008	13.402	7.633	3.256	19.929
LIN9	2.331	0.789	1.975	0.462	3.861	0.465	7.068	2.048	3.111	4.536	0.714	0.348	2.23	2.516	3.049	0.432	2.196	7.789	1.254	2.379	0.394	1.954	0.239	1.841	0.755	1.778	3.427	2.158	0.201	1.367
LINGO1	0.322	0.213	0.83	1.438	0.211	0.157	0.278	0.139	0.289	0.407	0.117	0.127	0.169	0.267	0.105	0.111	0.179	0.389	0.223	0.299	0.175	0.319	0.113	0.272	0.062	0.115	0.397	0.173	0	0.231
LINGO2	0.039	0.084	0	0.054	0.016	0.034	0.119	0.024	0.041	0.072	0	0	0.01	0	0.042	0.036	0.043	0	0.016	0	0	0	0	0	0.018	0	0	0	0	0
LINGO3	0	0	0.016	0	0.079	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0
LINGO4	0	0.018	0	0	0.022	0.088	0.099	0	0	0.031	0.028	0	0.027	0.019	0.04	0.016	0.034	0.046	0	0	0	0	0	0	0.047	0.043	0	0	0	0
LINS	1.958	0.688	2.92	0.894	3.024	1.055	2.152	0.585	3.639	2.559	1.24	0.886	3.767	3.834	3.077	1.177	4.055	3.274	0.584	3.424	0.817	3.535	0.529	2.33	1.139	1.294	2.505	1.414	0.462	3.303
LIPA	4.311	4.949	5.274	2.104	5.76	2.124	7.86	3.164	10.481	15.668	2.907	3.142	20.732	20.071	13.885	2.774	60.093	23.565	5.198	11.363	3.924	19.612	3.876	7.911	2.52	9.453	10.175	14.893	4.372	24.921
LIPC	0.084	0.03	0.087	0.143	0.035	0.287	0.231	0	0.705	0.085	0.015	0	0.132	0.314	0.064	0.076	0.255	0.112	0.034	0.438	0.213	0	0	0	0.038	0.28	0	4.823	0.724	0.106
LIPE	0.212	0.227	0.265	0.144	0.222	0.061	0.379	0.236	0.198	0.249	0.11	0.171	0.232	0.192	0.2	0.149	0.238	1.12	0.386	0.231	0.225	0.123	0.262	0.14	0.24	0.118	0.367	0.233	0	0.044
LIPF	0.132	0.031	0.046	0.03	0	0	0.17	0.107	0	0.071	0	0	0	0	0.027	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0
LIPG	4.296	2.607	5.038	2.479	16.644	1.697	8.638	6.387	5.428	5.855	2.297	2.732	7.103	2.576	3.708	2.68	5.828	11.931	3.742	7.715	1.857	3.555	2.206	4.305	2.425	2.708	3.883	3.338	2.188	1.472
LIPH	8.307	5.16	8.362	3.241	9.961	7.962	9.713	3.563	42.301	29.905	7.809	6.898	46.101	60.805	17.912	5.222	58.687	8.153	2.198	22.35	5.251	34.664	3.827	13.981	3.666	27.555	7.819	6.87	1.972	45.93
LIPI	0.206	0	0	0.056	0	0.07	0.226	0	0	0.265	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0
LIPJ	0.136	0	0	0	0	0	0.175	0	0.095	0.164	0.017	0	0	0.068	0.069	0	0.079	0	0	0.118	0	0	0	0	0	0	0	0	0	0
LIPK	0.168	0	0	0.115	0	0	0.154	0	0	0.045	0	0	0	0	0	0	0	0.05	0.045	0.146	0	0	0	0	0	0	0	0.106	0	0
LIPM	0.091	0	0.023	0	0	0	0.25	0	0.032	0.164	0	0	0.071	0.085	0	0	0	0.162	0.073	0	0	0	0	0	0	0	0	0	0	0
LIPN	0.225	0.16	0.087	0.038	0.141	0.289	0.309	0	0	0.181	0.02	0	0	0.042	0.069	0	0.049	0.05	0.091	0	0.143	0	0.139	0	0.102	0	0.389	0.106	0	0
LIPT1	1.304	0.562	2.675	0.934	2.494	0.528	3.075	0.665	2.304	4.324	1.699	1.134	4.965	3.147	3.864	1.486	4.282	2.599	0.831	2.504	0.61	2.5	0.423	1.355	0.775	1.028	2.731	1.163	0.237	1.467
LIPT2	0.983	0.4	0.543	0.239	1.875	0.24	1.003	0	1.62	2.684	0.511	0.483	1.766	1.497	1.61	0.506	2.341	2.626	0.51	0.731	0	1.947	0.346	0.554	0.507	0.35	1.214	0.661	0	0.706
LITAF	12.671	15.562	22.438	15.532	15.368	18.534	25.245	14.65	61.456	40.056	12.245	12.832	81.024	82.271	27.53	16.84	98.185	48.892	35.888	32.761	13.811	44.195	11.52	23.495	17.041	41.049	25.914	15.69	7.974	64.965
LIX1	0.136	0.06	0.053	0.104	0	0.058	0.205	0	0.012	0.185	0.037	0	0	0	0.016	0	0.007357	0	0	0	0	0	0.084	0	0.015	0	0	0.895	0	0
LIX1L	1.01	0.856	0.968	1.178	0.843	1.644	2.564	1.515	3.632	2.478	0.56	1.125	4.007	2.916	3.016	1.041	3.833	2.357	1.514	1.128	2.562	3.669	1.541	1.139	1.738	1.521	0.832	1.811	1.327	1.934
LLGL1	0.526	0.25	0.839	0.618	0.879	0.327	0.806	0.715	0.569	1.014	0.412	0.637	0.969	0.704	0.581	0.374	0.884	1.179	0.631	1.745	0.647	1.217	0.354	1.196	0.475	0.451	0.772	0.841	0.44	0.681
LLGL2	14.947	4.641	12.47	5.077	12.661	5.539	12.041	5.031	14.597	11.017	6.025	5.963	11.97	13.626	12.052	5.563	19.423	18.883	7.223	16.276	3.36	11.547	2.736	10.108	4.367	11.766	9.845	3.336	1.049	21.775
LLPH	11.904	3.943	14.342	4.594	13.407	4.26	18.012	8.049	25.98	23.154	4.875	4.954	21.703	21.32	17.257	2.795	27.194	30.78	4.111	25.819	4.775	13.633	3.275	12.899	4.352	15.939	18.002	12.714	4.009	14.889
LMAN1	14.549	12.019	15.389	8.037	20.224	8.172	25.563	11.801	46.175	58.297	9.766	9.591	46.609	52.229	40.812	11.141	43.568	28.917	12.596	21.239	7.954	30.206	7.969	14.582	9.43	24.21	23.523	18.441	5.574	20.91
LMAN1L	0	0	0.02	0.026	0	0	0.085	0	0	0	0	0	0	0.015	0.012	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0
LMAN2	19.971	6.68	18.732	6.403	16.738	5.974	21.808	7.04	33.488	49.016	8.378	7.442	42.269	43.809	32.12	7.937	46.277	50.069	8.429	43.118	6.158	30.74	5.621	27.158	7.676	27.113	32.949	22.292	4.438	26.252
LMAN2L	2.62	1.532	3.188	1.669	2.879	1.367	2.637	0.902	5.497	6.405	1.887	1.405	6.504	5.594	3.636	1.807	5.77	3.833	1.692	4.239	1.539	4.4	2.108	3.049	1.719	3.167	2.862	3.271	0.951	2.981
LMBR1	7.041	3.68	9.186	4.826	8.629	1.932	13.91	8.697	10.821	15.49	3.851	2.39	9.828	9.859	17.091	4.663	10.253	16.303	5.749	19.241	5.768	8.84	3.702	13.113	6.647	6.191	19.064	7.366	3.421	8.45
LMBR1L	1.724	1.473	2.105	2.677	0.912	2.112	1.437	1.427	1.788	2.14	1.913	1.305	2.183	2.624	2.338	1.244	2.713	3.738	2.064	2.919	2.77	1.993	1.062	2.269	1.635	0.908	2.485	2.218	0.793	2.889
LMBRD1	5.226	4.117	10.289	3.594	6.533	3.494	10.059	2.971	27.133	24.3	4.249	2.25	24.158	45.229	19.512	3.948	41.336	24.709	4.641	23.578	5.703	33.715	6.62	15.332	3.376	18.023	8.583	7.199	2.718	25.46
LMBRD2	3.851	1.883	3.684	1.317	3.789	2.206	7.001	3.076	9.68	7.691	1.962	1.92	7.221	10.399	8.538	1.564	10.729	9.18	1.596	3.742	1.162	8.157	1.283	2.959	1.711	4.295	5.04	2.704	0.861	6.173
LMCD1	3.808	2.297	4.231	2.246	2.726	0.731	11.253	2.872	3.451	6.553	1.315	1.177	3.91	2.719	2.449	0.888	2.44	3.67	1.787	1.62	2.07	2.021	1.724	0.307	1.896	1.617	3.495	7.973	2.144	2.442
LMF1	0.207	0.35	1.107	0.651	0.82	0.53	1.137	1.002	0.669	1.134	0.931	0.925	0.664	0.91	1.044	0.964	1.568	0.392	0.313	0.202	0.328	0.448	0.319	0.204	0.771	0.473	1.252	0.389	0.178	0.325
LMF2	1.607	1.292	1.712	1.199	2.598	1.507	1.624	1.005	2.701	2.797	1.104	2.141	3.003	2.61	2.982	1.995	3.728	4.134	1.339	2.837	1.381	3.057	0.511	1.331	1.335	1.38	1.883	1.952	0.715	2.15
LMLN	0.923	0.537	0.734	0.679	0.881	0.886	1.356	0.879	0.968	1.964	1.714	1.037	0.908	1.033	1.135	1.155	0.722	1.326	0.988	1.202	0.741	0.751	0.65	0.893	0.638	0.658	0.358	0.709	0.487	0.615
LMNA	23.664	8.012	18.036	6.389	35.399	13.025	66.42	16.091	58.589	39.823	11.605	10.269	24.968	33.324	40.05	10.214	61.078	59.644	8.027	25.606	7.21	33.744	7.93	18.392	7.328	39.082	23.825	24.631	4.695	45.684
LMNB1	22.929	7.982	15.908	8.255	32.719	2.844	32.86	20.365	29.895	27.328	5.598	4.415	12.732	21.881	13.355	3.071	23.147	46.289	10.226	21.51	3.667	16.823	5.661	16.184	7.674	20.23	23.697	20.014	4.71	16.173
LMNB2	11.462	5.683	7.382	5.082	16.925	4.018	11.904	10.863	13.271	14.571	4.503	5.033	4.083	8.182	6.755	4.186	9.156	17.089	5.398	12.058	1.988	7.548	4.184	7.448	5.951	9.947	11.191	7.674	2.701	8.569
LMO1	0.045	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0.039	0.04	0	0	0	0	0	0	0	0	0	0	0	0
LMO2	0.836	0.774	0.575	0.664	1.094	0.715	1.363	0.439	2.378	1.593	0.314	0.767	2.878	2.525	1.126	0.469	2.825	5.688	0.832	0.872	0.849	3.384	0.756	0.22	0.63	0.881	0.964	0.735	0.673	1.121
LMO3	0.144	0.335	0.701	0.844	0.033	3.955	0.187	0.206	0.859	0.494	0.09	0.36	2.698	0.655	0.1	0.228	0.889	0.279	1.202	0.17	1.724	0.906	1.256	0.206	1.854	0.609	0.09	0.123	0.27	0.131
LMO4	1.184	2.122	2.058	2.06	1.801	2.302	1.774	1.525	3.731	3.342	1.461	1.321	3.698	4.665	6.242	3.252	4.158	3.743	1.831	2.988	2.751	3.588	1.844	1.969	2.343	2.738	1.984	2.182	1.118	2.726
LMO7	39.826	12.632	36.387	10.425	25.381	5.834	21.49	11.808	60.979	18.255	6.361	5.722	25.186	32.88	25.612	6.563	46.828	31.723	6.537	68.153	11.107	19.084	6.85	43.926	8.97	21.45	36.89	16.975	4.668	48.634
LMOD1	0.645	3.919	2.086	3.119	0.425	27.819	0.485	1.358	8.303	3.234	1.31	3.367	6.48	10.068	1.351	1.501	8.446	1.574	5.113	1.018	6.808	10.014	5.61	1.073	10.757	5.992	1.234	2.174	1.523	3.287
LMOD2	0.094	0	0.032	0.064	0.026	0	0.155	0	0	0	0	0	0	0	0.009591	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0
LMOD3	0.164	0.152	0.093	0.179	0.096	0.056	0.271	0.119	0.103	0.079	0.06	0	0.069	0.062	0.045	0.158	0.05	0.41	0.08	0.257	0.083	0	0.122	0.065	0.193	0.082	0.171	0	0.057	0.041
LMTK2	5.159	3.036	6.335	3.452	5.402	4.159	4.673	3.267	8.996	5.79	3.012	3.276	6.832	10.632	5.976	4.328	11.379	5.362	3.945	8.869	2.599	6.295	2.358	5.383	3.429	5.615	4.637	2.807	1.272	10.26
LMTK3	1.071	0.232	0.294	0.074	0.238	0.046	0.32	0.246	0.019	0.333	0.202	0.112	0.05	0.03	0.104	0.114	0.053	0.737	0.186	0.918	0.138	0.047	0.1	0.268	0.098	0.045	0.094	0.281	0	0.068
LMX1A	0.145	0.013	0	0.012	0.03	0.062	0.139	0.044	0.241	0	0.006596	0	0.038	0.142	0	0	0.133	0.016	0.044	0	0	0.189	0	0.072	0.016	0.151	0	0	0	0.228
LMX1B	0.012	0.025	0.005964	0.016	0.019	0.04	0.025	0.042	0.008082	0.037	0.013	0	0	0.00865	0.003535	0	0.005006	0.021	0.019	0	0.059	0	0.028	0	0	0.019	0	0	0	0.029
LNP1	0.699	0.368	0.831	0.641	0.482	0.156	0.468	0.405	0.744	1.211	0.476	0.669	1.099	0.876	0.725	0.201	0.79	1.11	0.589	1.188	0.308	0.843	0	0.24	0.604	0.455	0.315	0.458	0.419	0.687
LNPEP	7.04	3.373	10.057	4.081	9.399	4.372	12.603	5.022	14.603	15.633	4.331	4.294	17.681	14.177	12.874	3.7	12.568	11.055	5.001	16.913	5.632	13.207	5.23	11.819	4.735	7.038	8.117	10.236	2.326	9.182
LNX1	3.653	1.698	3.65	1.347	1.894	0.592	4.764	1.514	4.329	5.734	1.812	1.323	3.828	6.309	6.78	2.565	4.729	4.522	1.226	4.157	1.219	2.6	0.379	2.429	1.025	1.631	3.99	1.23	0.795	3.624
LNX2	9.131	3.396	10.422	3.987	5.786	2.566	7.554	4.877	12.074	13.058	3.465	2.722	11.768	15.321	12.09	3.195	12.393	13.346	4.437	64.457	17.506	8.172	3.699	40.762	3.459	6.395	9.363	3.696	2.079	11.069
LOC100127946	0.533	0	0.458	0.362	0.148	0	0.146	0.215	0.062	0.036	0.194	0	0	0.166	0.978	0.747	0.038	0.079	0.072	0	0.225	0	0.219	0	0.561	0.148	0	0	0.612	0
LOC100127983	0.384	0.547	1.09	0.696	0.053	3.173	0.457	0.078	2.506	1.107	0.186	0.176	2.18	1.916	0.45	0.192	1.552	0.912	1.188	0.667	1.623	2.663	2.366	1.263	2.428	1.065	0.443	1.204	1.103	0.804
LOC100128071	0.193	0	0.149	0.131	0.322	0.165	0.265	0	0.472	0.543	0.14	0	0.051	0.289	0.324	0	0.334	0.344	0.233	0.502	0	0.334	0	0	0	0.16	0	0.181	0	0.242
LOC100128326	0	0.075	0.054	0	0	0	0.058	0	0	0	0	0	0.111	0	0	0	0.046	0	0.085	0.275	0	0	0	0	0.095	0	0	0.198	0	0
LOC100128905	0.036	0	0	0.024	0	0	0.02	0	0	0.029	0.013	0	0	0.013	0	0	0	0	0.029	0	0	0	0	0	0	0.06	0	0	0	0
LOC100129083	0	0.066	0.095	0	0.077	0	0.051	0	0.129	0.186	0.101	0	0.048	0.138	0.113	0.056	0.2	0.082	0.075	0	0	0.321	0	0	0	0	0	0	0	0
LOC100129098	0.084	0	0.014	0.038	0.023	0	0.031	0	0	0.045	0.051	0	0	0	0.017	0	0	0.025	0	0	0	0	0.069	0	0	0	0	0	0	0
LOC100129216	0.633	0	0	0.215	0	0	0	0	0	0	0.23	0	0	0.118	0.29	0	0.137	0	0.255	0	0	0	0	0	0	0	0	0	0	0
LOC100129307	0	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0
LOC100129480	0.559	0.62	0.577	0.211	0.882	0.638	0.854	0.075	1.087	2.077	0.837	1.112	1.661	2.21	1.255	0.374	0.969	0.222	0.351	0.162	0.158	2.587	0	0.736	0.393	1.034	0.43	0.585	0.214	1.406
LOC100129520	0	0	0.012	0.015	0.736	0	0.025	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100129636	0.19	0	0.229	0.259	0.265	0.108	0.628	0.154	0.488	1.43	0.069	0.087	0.798	0.594	0.466	0.038	0.632	0.904	0.358	0.165	0.322	0.44	0.156	0	0.459	0.317	0.439	0.239	0.438	0.159
LOC100129924	0.069	0.146	0.035	0.14	0.114	0	0.038	0	0.048	0.028	0	0	0	0	0.063	0.247	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0
LOC100130097	0.337	0	0.077	0.026	0	0	0.721	0.091	0	0.181	0.109	0	0.039	0.042	0.069	0.09	0	0	0.03	0	0	0	0	0	0.068	0	0.519	0.071	0	0
LOC100130301	0.239	0.085	0.185	0.244	0	0	0.329	0	0.084	0.193	0.131	0	0	0.045	0	0.072	0	0.107	0	0	0	0	0	0	0.108	0	0	0	0	0
LOC100130348	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100130357	0.555	0.291	0.709	0.417	0.391	0.5	0.418	0.142	0.388	0.247	0.542	0.201	0.689	0.23	0.34	0.756	0.342	0.339	0.991	0.228	0.445	0	0.144	0.231	0.396	0.146	0.202	0.22	0	0.22
LOC100130370	0	0.124	0.045	0.059	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0.071	0	0	0	0	0	0.079	0	0	0	0	0
LOC100130451	0.507	0.028	0.161	0.212	0.065	0	0.408	0	0.027	0.126	0.085	0	0.143	0.146	0.084	0.117	0.017	0.139	0.221	0.102	0.297	0	0.192	0.154	0.071	0	0.135	0	0	0
LOC100130480	0.112	0	0	0	0	0	0.184	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0.387	0	0	0
LOC100130539	0	0	0	0.041	0	0	0.133	0	0.042	0.098	0	0	0.032	0	0	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100130705	0.106	0.013	0.027	0.036	0.163	0.333	0.097	0	0.025	0.064	0.09	0.073	0.093	0.02	0.054	0.043	0.023	0.158	0.086	0.092	0.18	0	0.349	0.07	0.128	0.029	0.061	0.033	0.061	0.045
LOC100130880	0.234	0.166	0.06	0	0	0	0	0.141	0	0.094	0	0	0	0	0	0	0.051	0.104	0.094	0	0	0	0	0	0.316	0	0	0	0	0
