Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
KLHDC9	0.517	0	3.033	0.328	1.609	0.427	0.334	2.103	0.573	1.074	1.912	0.3	0.332	2.036
KLHL1	0.426	0	0	0	2.357	0.092	0	0.488	0.185	0	0	0.048	0	0.046
KLHL10	0.23	0	0.108	0	0.061	0	0.045	0.056	0.163	0.036	0.091	0.1	0	0.032
KLHL11	1.421	0.262	5.827	0.98	8.33	0.328	0.692	5.517	0.329	3.582	5.16	0.259	0.458	5.392
KLHL12	3.316	2.07	17.413	4.755	16.013	1.826	2.009	10.521	2.001	9.383	12.612	1.264	1.81	13.814
KLHL13	0.419	0.128	1.201	0.294	3.47	0.24	0.506	3.104	0.551	0.889	1.124	0.274	0.522	1.302
KLHL14	0.397	0.095	0.153	0.144	0.188	0.358	0.147	0.621	0.283	0.185	1.301	0.118	0.125	0.282
KLHL15	0.992	0.632	3.257	1.034	4.587	1.305	1.724	6.681	1.221	2.919	3.922	1.057	1.104	4.874
KLHL17	0.15	0.119	0.396	0.205	0.624	0	0.035	0.549	0.299	0.644	0.57	0.314	0.069	0.346
KLHL18	1.187	0.796	2.101	0.983	3.306	0.685	0.946	2.775	0.417	2.265	2.424	0.872	0.827	2.238
KLHL2	1.212	0.524	2.395	0.797	5.631	0.808	0.976	5.033	0.631	2.526	3.361	0.975	0.781	4.685
KLHL20	3.595	3.579	16.801	5.417	5.949	0.825	2.401	7.035	1.58	5.931	6.49	1.015	1.103	5.76
KLHL21	0.874	1.359	2.374	0.997	4.154	0.892	1.774	4.277	1.318	2.145	2.118	2.128	0.871	2.047
KLHL22	1.41	1.593	4.294	1.106	6.701	0.364	0.855	5.336	1.004	3.597	5.263	0.653	0.306	4.285
KLHL23	0.019	0.025	0.302	0.022	0.166	0.047	0	0.097	0	0.159	0.209	0.025	0	0.187
KLHL24	2.464	1.539	14.147	4.545	10.673	1.793	2.891	10.587	2.853	8.976	10.887	1.974	2.364	12.96
KLHL25	0.313	0.138	0.846	0.571	1.119	0.207	0.364	1.177	0.238	0.624	0.744	0.409	0.169	0.533
KLHL26	0.419	0.326	0.627	0.281	0.729	0.366	0.43	0.883	0.281	0.529	0.468	0.354	0.228	0.669
KLHL28	1.525	0.574	7.224	2.075	6.958	0.756	1.147	5.842	1.12	4.287	6.38	0.813	0.99	6.275
KLHL29	0.968	0.76	0.898	0.673	2.371	0.3	0.422	2.635	0.603	1.017	1.45	0.909	0.192	0.548
KLHL3	0.82	0.4	0.083	0.323	0.531	0.29	0.261	0.772	0.514	0.584	0.248	0.332	0.35	0.619
KLHL30	0.229	0.028	0.079	0.024	0.083	0.052	0.097	0.137	0.119	0.039	0.149	0.327	0.048	0.12
KLHL31	0.428	0.088	0.252	0.107	0.45	0.066	0.514	0.294	0.172	0.475	0.361	0.07	0.201	0.375
KLHL32	0.303	0	0.057	0	0.145	0	0.094	0.133	0.115	0.359	0.144	0.317	0.07	0.549
KLHL33	0.041	0.055	0.156	0.047	0.264	0.102	0.192	0.272	0.118	0.154	0.164	0.432	0.048	0.17
KLHL34	0.162	0.107	0	0.062	0	0.134	0.031	0.02	0.039	0	0	0.071	0.063	0
KLHL35	0.079	0	0.449	0	0.063	0	0.092	0.029	0	0.037	0.063	0	0	0.098
KLHL36	1.347	0.984	4.077	1.334	4.084	1.142	0.619	2.984	0.606	3.279	4.831	0.51	0.533	3.154
KLHL38	0.419	0	0	0.048	0.067	0	0	0.123	0.119	0	0	0.11	0.048	0
KLHL4	0.249	0	0.025	0.045	0.084	0	0.031	0.384	0.187	0.074	0.323	0.017	0	0.032
KLHL5	2.879	1.502	6.164	2.966	8.459	1.909	3.999	14.218	2.455	3.662	9.668	1.838	3.339	5.926
KLHL6	0.572	1.254	0.459	0.791	0.623	0.573	0.297	0.784	0.381	0.261	0.472	0.859	0.323	0.411
KLHL7	1.299	0.641	6.546	1.482	6.052	0.336	0.902	4.7	0.552	4.005	5.348	0.228	0.426	5.592
KLHL8	1.495	0.4	7.27	1.916	8.455	0.624	1.72	4.957	1.22	4.898	6.91	1.01	1.088	7.197
KLHL9	3.45	1.681	18.612	3.757	17.455	1.036	1.723	13.318	1.588	10.811	14.444	0.843	1.329	13.71
KLK1	0.44	0.349	0.166	0	0.563	0	0.102	0.193	0.626	0.493	0.209	0.23	0.305	0.072
KLK10	1.029	0.124	0.11	0.107	0.412	0.232	0.299	0.771	0.433	0.131	0.593	0.765	0.081	0.039
KLK11	8.597	7.087	1.669	1.096	15.337	1.003	0.471	7.702	0.576	7.278	12.105	1.124	0.175	4.375
KLK12	0.429	0	0.405	0.082	0.115	0.355	0	0.052	0	0.535	0.454	0	0	0.472
KLK13	0.55	0	0.058	0	0.098	0.151	0	0.045	0.087	0.057	0	0.24	0.071	0
KLK14	0.339	0	0	0	0	0	0.079	0.149	0.097	0	0.054	0.71	0.157	0
KLK15	0.117	0	1.44	0.402	0.094	0.146	0	0.086	0	0.494	0.093	0.461	0.068	0.726
KLK2	127.963	113.056	498.095	140.759	327.81	15.124	91.18	326.615	52.608	632.529	609.807	53.571	50.373	774.366
KLK3	256.298	232.446	1687.438	422.695	844.607	57.222	284.587	730.994	183.664	1341.691	1071.554	156.324	258.767	1975.888
KLK4	3.139	8.903	21.253	15.038	16.987	14.285	26.891	31.379	24.466	72.155	46.857	39.019	63.861	86.284
KLK5	0.295	0.065	0.046	0	0.039	0	0	0.072	0.14	0	0	0.386	0.057	0
KLK6	0.225	0	0	0	0	0	0	0.066	0.256	0	0	0.529	0.052	0
KLK7	0.432	0	0	0	0	0	0	0.105	0.103	0	0.057	0.188	0	0
KLK8	0.067	0	0	0	0	0	0	0.049	0.191	0	0	0	0.077	0
KLK9	0.107	0	0	0	0	0	0.062	0	0.152	0	0	0.21	0	0.044
KLKB1	0.787	0.181	0.097	0.195	0.055	0.254	0.159	0.276	0.097	0.128	0.108	0.045	0.079	0.338
KLLN	0.449	0.119	0.22	0.082	0.316	0.045	0.063	0.158	0.154	0.151	0.171	0.211	0.145	0.281
KLRB1	0.831	0.412	0.588	1.067	1.247	0	0.121	1.825	1.036	0.777	0.412	0.543	0.24	0.77
KLRC1	0.446	0.059	0.126	0.051	0.214	0.111	0	0.131	0.381	0.167	0.106	0	0.052	0.073
KLRC2	0.881	0.083	0.059	0.359	0.151	0	0.146	0.369	0.179	0	0.15	0.165	0.655	0.156
KLRC3	0.537	0	0.253	0.077	0.215	0.166	0.078	0.344	0.096	0.063	0.106	0.088	0.31	0.111
KLRC4	0	0	0	0	0.265	0	0	0.061	0	0	0.066	0	0.096	0.068
KLRC4-KLRK1	0.987	1.044	1.005	1.306	1.706	0.391	0.827	1.561	0.506	1.144	1.095	0.361	0.593	1.139
KLRD1	0.412	0.212	0.173	0.157	0.458	0	0.08	0.235	0.228	0.064	0.182	0.449	0.212	0.057
KLRF1	0.495	0	0	0	0.05	0.307	0.144	0.181	0.176	0	0.098	0	0.143	0.255
KLRF2	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0
KLRG1	0.644	0.851	0.567	0.49	0.206	0.532	0.649	0.534	0.856	0.481	0.544	0.393	0.695	0.707
KLRG2	0.299	0	0.141	0.057	0.08	0.123	0.116	0	0	0.14	0.039	0.26	0.173	0.041
KLRK1	0	0.064	0	0.055	0.581	0	0	0.531	0.069	0.181	0	0	0	0.319
KMO	0.54	0.077	0.055	0.083	0.128	0.036	0.153	0.096	0.104	0.055	0.046	0.057	0.084	0.096
KNCN	0.193	0.127	0	0	0	0.159	0.075	0	0.183	0	0	0.21	0.111	0
KNDC1	0.125	0.15	0.064	0.039	0.163	0.084	0.079	0.133	0.097	0.138	0.252	0.401	0.066	0.028
KNG1	0.827	0	0	0	0	0	0	0	0.255	0	0	0.088	0.052	0
KNTC1	1.38	0.686	1.592	0.806	2.994	0.328	0.475	2.311	0.534	1.929	2.432	0.274	0.281	1.764
KPNA1	2.075	0.974	5.039	2.24	9.589	1.161	2.259	7.296	1.494	5.996	6.217	1.021	1.961	6.859
KPNA2	1.048	0.667	4.356	1.373	9.413	0.385	1.174	5.998	0.664	4.1	5.508	0.152	0.808	3.775
KPNA3	2.594	1.295	5.119	1.98	7.438	0.979	1.939	8.705	1.737	4.126	7.054	1.37	1.549	5.436
KPNA4	2.944	2.184	7.852	3.144	11.479	1.909	3.973	10.328	2.402	6.775	8.629	1.656	2.998	8.294
KPNA5	1.71	1.177	3.258	1.625	6.413	0.706	1.616	6.624	1.573	5.026	6.098	1.071	0.782	8.218
KPNA6	3.003	3.983	8.896	3.556	14.483	3.592	4.1	10.343	3.638	7.892	9.379	3.026	3.134	9.673
KPNA7	0.821	0	0	0	0.219	0	0.106	0	0.39	0.171	0	0.179	0.105	0.038
KPNB1	10.905	15.023	53.016	16.511	47.307	5.487	10.155	35.408	7.141	33.207	37.691	8.253	7.15	34.586
KPRP	0.457	0	0	0	0	0	0	0	0.217	0	0	0.478	0.176	0
KPTN	0.546	0.301	0.129	0.104	0.619	0	0.212	0.734	0.454	0.681	0.577	0.714	0.316	0.263
KRAS	1.602	1.256	5.562	2.281	8.714	1.827	1.518	5.814	1.737	4.969	5.496	0.723	1.459	6.8
KRBA1	0.478	0.961	0.559	0.262	1.041	0.379	0.356	0.714	0.163	0.733	0.728	0.475	0.287	0.567
KRBA2	0.861	0.776	6.421	2.099	4.165	0	1.002	3.582	0.557	4.06	5.211	0.461	0	3.418
KRBOX1	0.666	0.147	0.105	0.127	1.6	0.275	0.129	0.813	0	0.83	0.968	0.145	0.642	2.929
KRCC1	4.473	4.29	20.176	4.602	17.579	2.717	2.959	15.411	1.936	10.695	14.979	1.433	1.724	14.489
KREMEN1	1.665	1.862	1.735	0.786	3.257	0.357	0.765	2.408	0.922	3.074	2.37	0.914	0.499	1.939
KREMEN2	0	0	0	0	0.06	0	0	0.055	0.106	0.035	0.089	0.147	0	0.308
KRI1	1.867	2.638	3.087	1.459	5.875	0.254	0.893	3.989	0.656	4.183	2.757	0.702	0.414	4.089
KRIT1	2.592	2.384	7.073	3.371	7.58	2.291	1.816	8.111	1.403	6.189	8.06	0.773	1.209	6.868
KRR1	3.32	1.726	21.784	4.31	19.276	1.816	2.265	16.413	1.924	10.485	15.644	1.257	1.668	14.434
KRT1	0.502	0	0	0	0	0.311	0.036	0	0.179	0.029	0.075	0.164	0.109	0.026
KRT10	0.934	0.997	1.389	0.451	1.552	0	0.334	0.999	0.972	0.403	1.737	0.188	0.166	0.799
KRT12	0.424	0	0	0	0	0	0	0	0.11	0	0	0.151	0	0
KRT13	12.64	10.844	0.93	2.71	2.439	4.999	0.052	4.89	4.022	0.251	0.853	1.992	0.363	0
KRT14	11.465	10.25	0.665	0.214	3.271	0.466	1.148	8.084	1.138	0.966	12.401	2.826	0.706	1.665
KRT15	7.311	10.218	9.768	4.385	43.859	5.28	2.333	34.258	11.96	11.946	11.456	2.895	0.048	3.993
KRT16	0.492	0.118	0	0	3.509	0.333	0	0.885	0.51	0	0.674	0.877	0.259	0.074
KRT17	2.149	2.905	7.874	6.797	70.029	2.542	4.205	82.991	3.269	4.29	24.191	5.044	0.452	2.535
KRT18	23.787	12.645	183.244	24.622	164.734	1.862	5.826	84.587	2.425	99.398	109.781	4.583	2.258	155.766
KRT19	11.444	6.494	44.146	10.73	92.035	3.885	2.189	82.222	7.369	27.835	47.256	6.832	0.906	54.683
KRT2	0.796	0.042	0.09	0	0.127	0	0	0.047	0.181	0.03	0.025	0.042	0.074	0.026
KRT20	0.511	0	0.04	0	0	0	0	0.094	0.121	0.04	0.034	0	0	0.105
KRT222	1.684	0.996	0.292	0	0.709	0.11	0.258	0.973	0.379	0.455	1.264	0.29	0.102	0.365
KRT23	3.723	1.041	1.587	1.184	7.563	0.532	0.375	12.504	0.51	1.171	8.967	0.515	0	1.416
KRT24	0.817	0	0	0	0.033	0	0	0	0.058	0	0.097	0.267	0	0
KRT25	0.644	0	0	0	0	0	0	0	0	0	0	0.12	0	0
KRT26	0.622	0	0	0	0	0	0.052	0	0	0	0	0	0	0
KRT27	0.477	0	0	0	0	0	0	0	0.136	0	0	0	0	0
KRT28	0.273	0	0	0	0	0	0.053	0	0.129	0	0	0.238	0	0
KRT3	0.366	0.044	0	0	0	0.247	0	0	0.142	0	0	0.261	0	0
KRT31	0.433	0	0	0	0	0	0	0	0.274	0	0	0.252	0	0
KRT32	0.422	0	0	0	0	0	0	0.028	0.055	0	0	0.1	0	0
KRT33A	0.538	0	0	0	0	0	0	0	0.085	0	0	0	0	0
KRT33B	0.191	0	0	0	0	0	0	0	0.273	0	0	0	0	0
KRT34	0.314	0	0.042	0	0	0	0	0	0.064	0	0	0.059	0.156	0
KRT35	0.23	0	0	0	0	0	0.054	0	0.197	0	0	0.361	0	0
KRT36	0.374	0	0	0	0	0	0	0.068	0.067	0	0	0.122	0	0
KRT37	0.358	0	0	0	0	0.111	0.052	0	0.064	0	0	0.526	0.103	0
KRT38	0.271	0.072	0	0	0	0	0	0	0	0	0	0.248	0.094	0
KRT39	0.635	0	0	0	0	0.225	0.053	0	0.323	0	0.144	0.178	0	0
KRT4	1.432	1.278	0.506	0.49	0.888	0	0.167	1.992	0.51	0.201	0.965	0.655	0.041	0.059
KRT40	0.635	0	0	0	0	0	0	0	0	0	0	0	0.046	0
KRT5	13.384	8.826	3.871	3.998	25.694	3.309	1.087	26.955	4.754	3.805	11.375	4.102	0.193	2.283
KRT6A	0.659	0.207	0.03	0.072	0.05	0.078	0.146	0.276	0.179	0	0.124	0.328	0.145	0.052
KRT6B	0.303	0	0	0	0	0.083	0	0	0.24	0	0	0.264	0.312	0
KRT6C	0.269	0	0	0	0	0.166	0	0	0	0	0	0.176	0.039	0
KRT7	0.316	1.672	1.533	1.906	11.456	0.784	0.683	11.21	0.643	0.886	2.685	0.236	0.052	0.707
KRT71	0.339	0	0	0	0	0	0	0	0.048	0	0	0.177	0	0
KRT72	0.42	0	0	0	0	0	0	0	0.054	0.036	0	0.449	0	0
KRT73	0.303	0.044	0	0	0	0.25	0.039	0	0.144	0.031	0	0.176	0.078	0
KRT74	0.386	0	0	0	0	0	0	0.02	0.275	0	0	0.216	0.064	0
KRT75	0.543	0	0	0	0.087	0	0	0.026	0.103	0	0	0.189	0	0
KRT76	0.334	0.04	0	0	0	0	0.035	0	0.043	0	0	0.318	0.035	0
KRT77	0.512	0	0	0	0	0	0.027	0	0.331	0	0	0.182	0.027	0
KRT78	0.389	0	0	0	0	0.214	0	0	0	0	0.034	0.283	0	0
KRT79	0.335	0	0	0	0	0	0	0.027	0.212	0	0	0.097	0	0
KRT8	13.412	5.826	64.311	13.377	93.89	1.14	6.509	45.956	3.548	49.955	65.449	4.509	3.19	72.81
KRT80	0.553	0.235	0.093	0.09	1.106	0.636	0.253	0.304	0.506	0.037	0.156	0.877	0.091	0.065
KRT81	0.08	0	0	0	0	0	0	0.118	0	0	0.032	0.158	0	0
KRT82	0.43	0	0	0	0	0	0.1	0	0.082	0	0	0.3	0	0
KRT83	0.287	0	0	0	0	0.102	0.095	0.06	0.058	0	0	0.214	0.047	0
KRT84	0.371	0	0	0	0	0.092	0.129	0	0.106	0	0	0.291	0	0
KRT85	0.123	0	0	0	0	0.229	0	0	0.044	0	0	0.605	0	0
KRT86	0.221	0.097	0	0.042	0.059	0	0	0.081	0	0.034	0	0.336	0.042	0
KRT9	1.074	0	0	0	0	0	0.078	0.025	0.287	0	0	0.351	0	0
KRTAP1-3	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0
KRTAP1-4	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0
KRTAP1-5	0.196	0	0	0	0.209	0	0	0	0	0	0.052	0	0.151	0
KRTAP10-10	0.07	0	0	0	0	0.346	0	0	0.199	0	0	0.548	0.081	0
KRTAP10-11	0.062	0	0	0	0	0.308	0.072	0	0.266	0	0	0.569	0	0
KRTAP10-12	0	0	0	0	0	0	0	0	0	0	0	0.115	0.204	0
KRTAP10-4	0.056	0	0	0	0	0.414	0.129	0	0	0	0	0.654	0	0
KRTAP10-5	0	0	0	0	0	0	0	0	0	0	0	0.109	0	0
KRTAP10-7	0.096	0	0	0	0	0.119	0	0	0.069	0	0	0.504	0	0
KRTAP10-8	0	0	0	0	0	0.435	0	0	0.25	0	0	0.574	0.101	0
KRTAP10-9	0.122	0	0	0	0	0	0	0	0.087	0	0	0.48	0.212	0
KRTAP11-1	0	0	0	0	0	0	0.098	0	0.36	0	0	0.331	0	0
KRTAP12-3	0.375	0	0	0	0	0	0	0	0	0	0	1.716	0	0
KRTAP13-1	0.308	0	0	0	0	0	0	0	0.439	0	0	0.939	0.119	0
KRTAP13-2	0.091	0	0	0	0.072	0.224	0	0	0	0	0	0.118	0.105	0
KRTAP13-3	0.148	0	0	0	0	0	0	0.108	0.211	0	0	0.773	0.171	0
KRTAP13-4	0.637	0	0	0	0	0	0	0	0	0	0	0.416	0	0.131
KRTAP15-1	0.509	0	0	0	0	0	0.197	0	0.483	0	0	0	0	0
KRTAP16-1	0.148	0	0	0	0	0	0.058	0	0.211	0	0	0.453	0.4	0
KRTAP17-1	0.099	0	0	0	0	0	0	0	0.141	0	0.078	0.129	0	0
KRTAP19-1	0.282	0	0.265	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0	0	0	0.222	0	0	0	0	0
KRTAP19-4	0.301	0	0	0	0	0	0	0	0	0	0	0.394	0	0
KRTAP19-5	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-6	0.703	0	0	0	0	0	0	0	0.334	0	0	0	0	0
KRTAP19-8	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP2-1	0.297	0	0	0	0	0	0	0	0	0	0	0.259	0	0
KRTAP2-2	0	0	0	0	0	0.267	0	0	0	0	0	0.422	0	0
KRTAP2-3	0.451	0	0	0	0	0	0	0	0	0	0	0.707	0.104	0
KRTAP2-4	0.201	0	0	0	0	0	0.117	0	0.287	0	0	0	0	0
KRTAP21-1	0.641	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	0	0	0	0	0	0.242	0	0	0
KRTAP23-1	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP24-1	0.606	0	0.044	0	0	0	0	0	0.133	0	0	0.061	0	0
KRTAP25-1	0.208	0	0	0	0	0	0.242	0	0.296	0	0	0	0.24	0
KRTAP26-1	0.133	0	0	0	0	0	0	0	0.094	0	0	0.173	0.077	0
KRTAP27-1	0.225	0	0	0	0	0	0	0	0.161	0	0	0	0	0
KRTAP3-1	0	0	0.122	0	0.104	0.321	0	0	0.184	0	0	0	0	0
KRTAP3-2	0.332	0	0	0	0	0	0	0	0.158	0	0	0.29	0	0
KRTAP3-3	0.218	0	0	0	0	0	0.254	0	0	0	0	1.427	0	0.09
KRTAP4-1	0	0	0	0	0	0.258	0	0	0	0	0	0.544	0	0
KRTAP4-11	0.327	0	0	0	0	0	0.076	0	0.466	0	0	0.257	0.076	0
KRTAP4-12	0.214	0	0	0	0	0	0	0	0.203	0	0	0.467	0	0
KRTAP4-2	0.302	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP4-3	0	0	0	0	0	0	0	0	0.116	0	0	0	0	0
KRTAP4-4	0	0	0	0	0	0	0	0	0	0	0	0.186	0	0
KRTAP4-5	0.087	0	0	0	0	0	0	0	0	0	0	0.114	0	0
KRTAP4-6	0.073	0	0	0	0	0	0	0	0.415	0	0	0.572	0.084	0
KRTAP4-7	0.328	0	0	0	0	0	0	0	0	0	0	0.214	0.095	0
KRTAP4-8	0	0	0	0	0	0	0	0	0	0	0	0.44	0.078	0
KRTAP4-9	0.349	0	0	0	0	0.173	0	0	0.199	0	0	0.365	0.081	0
KRTAP5-1	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0.067
KRTAP5-10	0.073	0.096	0	0	0	0.18	0.085	0	0.103	0	0	0	0	0
KRTAP5-11	0.075	0	0	0	0	0	0	0	0	0	0	0.295	0	0
KRTAP5-2	0	0	0	0	0	0.17	0	0	0.196	0	0	0.09	0	0
KRTAP5-3	0.086	0	0	0	0	0.424	0	0	0.122	0	0	2.012	0.198	0
KRTAP5-4	0.13	0	0	0	0	0.161	0.076	0	0.185	0	0	0.085	0.15	0
KRTAP5-5	0.068	0	0	0	0	0	0	0	0.097	0	0	0.356	0.158	0
KRTAP5-6	0.137	0	0	0	0	0.34	0.319	0	0	0	0	0	0.317	0
KRTAP5-7	0.257	0	0	0.098	0	0.212	0.1	0	0	0	0	0.336	0	0
KRTAP5-8	0.195	0.086	0	0	0	0.161	0.076	0	0.463	0	0	0.255	0.075	0
KRTAP5-9	0.259	0	0	0	0	0	0	0	0.369	0	0.051	0.93	0.524	0.053
KRTAP6-3	0.624	0	0	0	0.1	0	0	0	0	0	0	0	0	0
KRTAP7-1	0.332	0	0	0	0	0	0	0.243	0.158	0	0	0	0	0
KRTAP8-1	0.277	0	0	0	0	0	0	0	0.985	0	0	0.181	0.16	0
KRTAP9-2	0.153	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP9-3	0.232	0	0	0	0	0.192	0	0	0	0	0	0.608	0	0
KRTAP9-4	0.079	0	0	0	0	0	0.092	0	0	0	0	0.208	0	0
KRTAP9-6	0	0	0	0	0	0	0	0	0.227	0	0	0.208	0	0
KRTAP9-7	0.151	0	0	0	0	0.374	0	0	0	0	0	0	0	0
KRTAP9-8	0.467	0	0	0	0	0	0	0	0.111	0	0	0	0	0
KRTAP9-9	0.235	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTCAP2	8.432	8.36	33.124	8.978	31.936	3.831	5.232	25.62	2.602	21.669	28.067	5.512	4.061	25.127
KRTCAP3	2.879	0.666	3.257	1.971	5.299	0.357	0.921	3.583	0.82	3.094	3.879	0.753	0.25	4.092
KRTDAP	1.559	0	0	0.178	0	0	0.181	0.114	0.888	0.146	0	0.612	0.18	0
KSR1	0.77	1.584	0.339	0.547	0.63	0.509	0.458	1.566	0.756	0.448	0.624	1.275	0.534	0.381
KSR2	0.524	0.042	0.422	0.242	0.264	0.258	0.1	0.179	0.348	0.165	0.168	1.093	0.287	0.171
KTI12	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0
KTN1	15.177	11.759	91.86	20.221	81.507	4.746	10.128	70.047	8.07	45.923	66.116	6.869	5.562	70.549
KXD1	2.929	2.311	10.691	3.449	17.693	2.225	2.858	11.208	2.355	8.654	9.736	1.544	2.349	9.888
KY	0.62	0.214	0.038	0.015	0.183	0.067	0.392	0.592	0.307	0.176	0.545	0.141	0.109	0.155
KYNU	0.649	0.101	0.252	0.305	0.764	0.095	0.133	1.649	0.381	0.357	0.423	0.05	0.044	0.346
L1CAM	0.061	0.303	0.072	0.244	0.073	0.341	0.071	0.436	0.218	0.071	0.061	0.32	0.071	0.013
L1TD1	0.809	0.408	0	0.044	0	0.048	0.067	0.014	0.329	0.144	0.076	0.101	0.045	0.016
L2HGDH	1.072	0.067	1.772	0.676	1.978	0.25	0.587	1.736	0.503	1.756	1.839	0.363	0.423	2.39
L3HYPDH	1.002	0.221	2.047	0.508	4.098	0.552	0.194	3.912	0.238	1.613	3.926	0.218	0.386	4.586
L3MBTL1	0.776	0.798	1.159	1.107	1.449	0.641	0.677	1.358	0.983	1.572	1.726	0.507	0.449	1.368
L3MBTL2	1.541	1.656	4.042	1.538	6.051	0.776	1.009	4.285	0.72	3.196	4.81	1.196	0.557	4.663
L3MBTL3	1.441	1.881	8.305	1.997	4.086	0.633	0.743	3.699	0.909	6.681	5.825	0.811	0.443	4.929
L3MBTL4	0.921	0.652	0.586	0.391	1.235	0.106	0.324	1.961	0.794	0.541	1.24	0.588	0.396	0.512
LACC1	1.504	1.452	1.816	0.964	3.163	0.67	0.963	3.006	0.626	2.51	2.932	0.685	0.449	2.339
LACE1	0.714	0.18	0.897	0.155	1.332	0.253	0.119	1.269	0.387	1.493	1.562	0.267	0.393	2.016
LACRT	0.303	0	0	0	0.242	0.375	0	0.111	0	0	0	0.198	0	0
LACTB	1.359	0.473	5.396	0.694	10.19	0.177	0.291	5.107	0.357	5.683	6.18	0.421	0.414	5.718
LACTB2	1.336	0.654	8.727	1.525	11.367	0.123	0.461	5.871	0.776	3.608	5.688	0.065	0.172	7.382
LACTBL1	0.155	0	0	0	0	0.287	0.09	0	0.11	0	0	0.253	0.089	0
LAD1	1.029	1.11	7.071	1.668	6.391	0.537	1.292	2.934	0.81	3.517	4.099	1.734	0.814	4.35
LAG3	0.347	0.459	0.109	0.264	0.154	0.096	0.224	0.254	0.165	0.144	0.52	0.959	0.401	0.254
LAGE3	0.296	0.168	0.798	0.29	0.745	0.944	0	0.434	0.06	0.316	0.403	0	0.147	0.523
LAIR1	1.174	2.49	0.489	0.436	1.354	0.271	0.318	1.599	0.428	1.02	0.844	0.714	0.189	0.607
LAIR2	0.438	0	0	0.125	0.175	0	0	0	0.156	0	0.347	0	0	0
LALBA	0.528	0	0	0	0	0	0.123	0	0	0	0	0.138	0.366	0
LAMA1	0.661	0	0.105	0.018	0.178	0.039	0.028	0.192	0.215	0.164	0.227	0.187	0.028	0.085
LAMA2	2.641	4.875	1.981	1.665	7.634	1.317	2.27	7.914	1.683	4.254	4.871	1.234	1.659	4.293
LAMA3	2.083	1.14	7.565	3.146	5.908	0.623	1.295	5.922	1.606	3.208	2.584	0.864	0.631	3.853
LAMA4	2.702	3.828	4.042	2.642	8.234	1.385	3.829	14.414	2.228	4.68	9.653	2.298	2.278	5.633
LAMA5	1.204	1.521	2.252	1.381	3.192	0.984	1.072	3.374	1.466	1.76	2.303	1.856	0.607	1.896
LAMB1	4.51	4.711	5.752	2.67	9.364	1.336	1.239	10.224	1.742	3.662	8.327	1.496	1.748	3.337
LAMB2	6.723	7.367	13.352	3.427	24.898	1.279	2.618	25.912	1.979	14.607	21.262	2.249	1.27	17.536
LAMB3	4.119	1.22	1.208	0.663	9.094	0.424	0.179	6.682	0.901	1.565	3.102	0.983	0.02	0.535
LAMB4	0.722	0	0.049	0	0.032	0	0	0.009608	0.168	0.012	0.01	0.206	0.046	0.022
LAMC1	5.164	5.591	39.283	9.237	50.859	3.985	6.53	31.162	4.177	14.76	31.5	3.643	3.965	17.422
LAMC2	1.525	0.531	8.314	1.187	3.396	0.352	0.275	2.752	0.572	0.817	4.422	0.51	0.246	1.695
LAMC3	0.719	0.933	0.464	0.259	1.069	0.094	0.161	0.591	0.359	0.872	0.42	0.56	0.189	0.104
LAMP1	10.804	10.643	61.947	11.462	67.37	6.3	7.148	51.362	5.948	40.951	46.82	5.816	6.402	51.368
LAMP2	4.413	1.667	20.999	3.456	29.621	1.603	2.572	17.266	2.496	17.706	18.904	1.028	2.679	29.098
LAMP3	1.15	0.274	0.564	0.262	2.651	0.228	0.428	2.139	0.786	0.753	0.748	0.361	0.266	0.569
LAMP5	0.715	0.05	0.284	0.172	0.271	0	0.219	0.331	0.268	0.141	0.179	0.098	0.087	0.217
LAMTOR1	4.89	6.12	26.372	6.992	23.268	3.07	5.993	17.71	4.55	17.365	18.809	6.904	3.995	17.782
