Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
ADPRH	0	39	1	5	4	214	19	312	3	122	2	506	2	519	318	9
ADPRHL1	0	6	1	4	1	40	6	51	0	19	0	40	0	73	53	3
ADPRHL2	1	113	2	37	4	476	49	686	4	402	5	653	9	1002	967	13
ADPRM	0	11	0	10	1	45	6	84	0	29	2	148	0	179	67	1
ADRA1A	0	0	0	0	0	2	1	1	0	0	0	3	0	20	9	0
ADRA1B	0	0	0	0	0	1	0	0	0	1	1	5	0	24	5	0
ADRA1D	0	0	0	0	0	1	1	0	0	1	0	5	0	1	9	0
ADRA2A	0	19	1	0	0	136	8	119	0	28	0	136	3	147	165	7
ADRA2B	0	2	0	0	0	6	0	17	0	1	1	24	0	23	11	0
ADRA2C	0	13	0	1	0	8	0	6	0	3	0	21	0	34	478	2
ADRB1	4	70	0	1	0	37	12	60	0	23	3	145	3	206	108	5
ADRB2	0	20	0	66	2	154	26	292	6	315	2	181	5	634	182	5
ADRB3	0	0	0	0	0	2	0	0	0	0	0	3	0	14	1	0
ADRBK1	21	1198	3	186	29	1812	182	1725	18	1262	41	3446	87	6690	2664	50
ADRBK2	6	184	2	92	14	1858	122	1294	13	508	42	2717	51	2923	2036	36
ADRM1	4	216	3	51	8	645	53	1111	11	1153	15	1496	29	1777	1945	30
ADSL	5	159	3	69	13	1340	100	1301	4	1154	20	1528	24	2634	2516	44
ADSS	22	857	3	177	28	1792	399	3731	32	2152	58	4657	77	11529	3879	69
ADSSL1	0	10	0	15	1	73	39	271	3	241	1	415	10	356	269	6
ADTRP	0	20	1	17	1	303	4	37	0	0	1	377	1	30	698	3
AEBP1	3	122	6	25	46	1593	27	472	5	85	25	2649	16	843	1295	234
AEBP2	8	382	10	187	17	1424	262	1628	33	801	63	2721	54	3488	3154	82
AEN	3	64	1	38	6	378	15	401	2	259	13	738	7	851	664	13
AES	25	1195	15	406	40	2788	640	6305	79	5321	111	6164	157	9482	5628	160
AFAP1	8	164	5	35	9	890	105	1005	9	760	28	2264	31	2750	2547	60
AFAP1L1	5	61	2	51	6	451	38	426	5	159	10	903	19	1256	455	13
AFAP1L2	1	55	2	35	3	382	22	496	2	186	16	1119	10	1214	466	4
AFF1	44	1293	17	706	68	4941	1242	7825	107	3301	212	10947	232	12381	6915	216
AFF2	2	172	1	2	2	37	3	23	2	11	16	572	6	403	219	12
AFF3	1	39	0	11	5	220	10	159	0	22	4	353	4	283	111	6
AFF4	59	2024	40	876	57	5608	1286	8688	96	4143	268	17717	283	19308	19739	381
AFG3L2	13	584	5	189	21	3007	187	3096	19	2076	43	4401	30	4342	2980	40
AFM	0	0	0	0	0	0	0	0	0	0	0	0	0	9	17	0
AFMID	4	67	2	46	2	320	68	762	3	455	7	540	10	898	664	11
AFP	0	0	0	1	0	9	0	0	0	0	0	0	0	9	24	0
AFTPH	17	817	10	257	36	2909	329	3485	32	2052	60	4700	44	5612	8084	121
AGA	5	255	2	76	5	764	64	1312	7	1219	20	1484	14	3092	1112	9
AGAP1	11	620	6	146	25	1488	193	1662	29	1364	49	2923	74	4136	2461	65
AGAP10	0	27	1	15	3	19	21	19	4	10	16	67	10	78	21	11
AGAP11	8	196	5	530	4	373	320	2556	22	1280	40	3158	75	3478	1540	35
AGAP2	0	106	1	25	5	243	22	89	0	60	3	580	13	704	839	12
AGAP3	15	629	8	197	13	1295	269	2592	25	1575	53	3763	86	5823	2698	77
AGAP4	0	21	0	37	2	122	43	129	0	81	6	208	8	153	193	4
AGAP5	4	123	0	89	2	249	53	366	2	167	15	798	13	530	378	11
AGAP6	5	220	2	210	14	1074	84	516	13	359	28	993	23	939	573	21
AGAP7	2	8	0	1	1	23	0	8	0	13	4	62	2	29	41	1
AGAP8	0	0	0	2	0	1	0	2	1	1	0	2	0	0	2	0
AGAP9	4	119	2	177	7	413	70	442	7	209	12	739	6	518	417	7
AGBL1	0	0	0	0	0	0	0	0	0	2	0	0	0	28	12	0
AGBL2	0	3	1	44	0	124	16	76	1	37	4	63	2	78	82	0
AGBL3	0	34	0	6	0	52	6	53	1	26	4	151	0	133	80	4
AGBL4	0	13	0	1	0	2	0	3	0	1	0	7	0	19	68	2
AGBL5	0	162	2	45	9	570	64	716	3	694	13	619	13	972	1254	15
AGER	1	30	0	34	1	122	16	59	2	30	4	258	7	199	98	3
AGFG1	19	1130	11	499	26	5567	423	3867	19	2024	73	5505	42	5523	3586	66
AGFG2	2	71	2	33	3	351	41	519	3	272	10	662	3	527	640	12
AGGF1	4	449	7	162	9	1569	285	2380	26	1486	53	3578	46	5037	2434	60
AGK	3	177	1	80	5	983	56	895	5	716	8	1597	18	2775	1568	27
AGL	14	655	7	298	12	2749	241	3197	17	1274	57	5415	74	9147	3684	56
AGMAT	1	12	1	7	0	81	10	166	0	108	6	237	8	1049	290	9
AGMO	1	11	0	26	1	18	30	526	2	76	4	153	3	2	116	1
AGPAT1	1	165	4	28	11	549	94	748	4	515	21	884	22	1189	916	21
AGPAT2	1	101	1	14	4	184	15	472	4	394	6	645	11	1144	1275	19
AGPAT3	20	934	15	183	42	3181	497	3938	31	3165	88	4988	72	5124	7064	101
AGPAT4	2	134	1	25	2	146	31	232	4	310	7	740	3	240	506	7
AGPAT5	14	296	4	30	1	1035	77	918	6	484	17	2285	26	2985	2560	29
AGPAT6	9	327	4	242	19	2027	162	1636	8	1120	33	2786	32	3828	6091	102
AGPAT9	0	52	0	1	0	145	1	34	1	10	0	103	1	73	137	4
AGPHD1	0	20	0	14	3	115	11	160	0	69	1	119	1	135	172	3
AGPS	5	481	4	115	25	3709	217	2787	21	1461	31	3335	26	5465	5148	73
AGR2	19	677	25	1612	70	17172	600	15265	40	15465	89	13069	131	49616	359	13
AGR3	0	0	0	0	0	5	0	20	0	0	0	0	0	6	6	0
AGRN	22	1415	21	438	56	5081	455	6914	42	3226	97	8131	126	11008	8278	160
AGRP	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
AGT	1	4	0	2	2	63	3	57	0	15	0	43	1	125	75	5
AGTPBP1	1	208	2	38	7	656	47	576	5	439	10	1311	10	956	1211	21
AGTR1	0	3	0	0	1	14	0	16	0	6	0	6	0	32	16	1
AGTR2	0	2	0	0	0	0	0	0	0	0	0	0	0	10	4	0
AGTRAP	4	49	2	39	7	275	13	330	2	211	1	245	2	262	412	13
AGXT	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
AGXT2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0
AGXT2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	153	3
AGXT2L2	3	142	2	158	2	415	79	698	6	350	34	1566	9	468	458	16
AHCTF1	33	1600	17	524	35	5293	642	5862	45	3219	119	11199	138	17841	11591	174
AHCY	8	402	8	59	22	2412	146	1930	9	2273	34	2162	26	3708	4740	54
AHCYL1	21	1054	11	225	29	3052	532	4470	28	3049	96	6944	103	9804	10915	238
AHCYL2	4	305	2	310	39	4787	121	1030	15	980	26	2254	22	2003	1445	24
AHDC1	1	134	4	82	8	265	57	340	16	110	15	691	23	709	1285	45
AHI1	11	494	5	373	19	1807	308	1524	31	876	68	4530	75	4378	1274	38
AHNAK	702	25581	340	2617	881	58801	13553	115332	1338	66112	1840	123973	2722	309934	130856	2418
AHNAK2	36	515	14	9	40	874	92	166	3	99	31	2232	12	683	219	42
AHR	110	4365	65	1685	171	37365	2646	38173	205	25282	369	38948	466	80306	23513	350
AHRR	0	57	0	18	0	191	4	54	0	9	4	159	5	156	53	2
AHSA1	11	547	8	122	45	2925	196	2515	20	1751	38	2859	54	4699	4318	84
AHSA2	11	432	7	511	16	1822	382	3434	47	2446	59	4430	82	4474	1148	42
AHSG	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0
AHSP	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
AICDA	0	1	0	0	0	5	0	1	0	0	0	8	0	9	22	0
AIDA	7	371	8	96	14	1977	211	2266	17	1432	27	3057	23	3437	2199	41
AIF1	0	30	2	15	3	417	7	108	1	24	3	420	2	112	275	14
AIF1L	1	4	0	4	1	127	2	108	0	22	3	124	4	354	526	3
AIFM1	4	221	4	93	15	1517	65	862	7	783	21	1365	22	2074	2101	32
AIFM2	1	101	2	20	1	228	45	369	8	308	8	605	14	975	497	7
AIFM3	0	8	2	7	0	56	13	187	1	50	2	455	2	335	311	3
AIG1	7	311	5	139	6	1294	316	6287	16	1722	35	4571	38	6236	1503	33
AIM1	54	3595	20	1097	71	11328	393	4753	34	2065	157	10026	83	10641	4866	42
AIM1L	5	135	2	38	4	77	57	358	2	242	11	727	8	761	2602	56
AIM2	10	1222	3	458	9	1188	72	1392	5	181	33	2460	3	413	599	3
AIMP1	8	357	3	124	20	2003	118	2234	10	1357	38	2300	33	4546	1989	32
AIMP2	0	79	1	13	1	451	28	517	2	553	6	580	9	1170	1055	6
AIP	0	130	1	20	6	411	9	747	3	518	5	628	8	1398	539	7
AIPL1	0	1	0	2	0	0	1	2	0	0	0	2	0	7	5	0
AIRE	0	4	0	0	0	2	0	0	0	0	0	1	0	4	3	0
AJAP1	0	1	1	1	0	51	6	132	0	9	3	32	2	37	27	0
AJUBA	3	131	6	39	18	1370	138	1468	7	363	22	1381	23	1678	404	13
AK1	1	32	0	10	7	134	6	110	0	92	3	235	4	249	730	7
AK2	31	599	13	263	33	2792	376	3048	16	1732	91	4408	71	6834	5042	100
AK3	7	257	5	77	14	1594	255	3003	19	1932	23	1782	50	5895	3498	44
AK4	11	436	8	72	9	1331	50	184	3	103	27	1010	13	1026	3771	53
AK5	1	12	0	4	1	29	0	8	0	0	0	16	1	67	15	0
AK7	1	9	0	2	0	12	1	4	0	1	0	13	0	43	57	0
AK8	0	1	0	0	0	0	0	13	0	4	0	8	0	13	39	0
AKAP1	15	477	7	232	17	1378	308	3981	44	3962	43	2608	61	5359	6698	90
AKAP10	7	290	5	299	16	2409	115	1195	9	639	39	2927	30	3172	2338	46
AKAP11	18	933	20	597	42	5046	1012	6427	65	3034	102	10375	115	11573	7087	136
AKAP12	1	167	4	28	13	805	38	596	33	7226	22	2262	89	7855	2690	158
AKAP13	56	2549	36	945	92	7628	1284	8678	115	4001	320	17410	186	11299	10036	295
AKAP14	0	0	0	1	0	2	0	0	0	0	0	1	0	6	11	0
AKAP17A (NC_000023 1710485..1721413)	0	193	3	63	2	349	65	604	7	346	6	1002	13	1155	649	7
AKAP17A (NC_000024 1660485..1671413)	1	158	2	35	2	271	39	617	2	573	10	996	4	1079	648	4
AKAP2	1	18	1	0	2	35	2	26	1	1	2	66	0	30	16	2
AKAP3	0	7	0	4	1	73	4	35	0	8	0	31	0	55	41	1
AKAP4	0	1	0	0	0	0	0	0	0	0	0	1	0	27	18	0
AKAP5	0	23	0	18	4	260	15	125	0	23	4	256	3	175	277	5
AKAP6	3	26	1	15	4	134	13	62	0	22	9	515	1	122	142	12
AKAP7	0	46	1	43	2	240	23	545	1	83	14	1034	6	772	219	6
AKAP8	12	460	6	210	17	1333	200	1539	24	1270	45	2447	47	3164	1732	39
AKAP8L	6	464	5	221	7	1199	106	1534	17	1453	25	2916	46	3677	3043	51
AKAP9	80	3822	68	1616	101	9748	1862	9435	221	5029	365	26807	509	33053	18423	462
AKD1	6	126	2	76	5	276	111	750	9	256	25	1259	12	946	328	16
AKIP1	2	37	0	20	0	373	19	435	2	336	5	271	2	416	269	7
AKIRIN1	8	177	5	111	7	1248	166	1702	10	895	28	2101	25	3238	2988	42
AKIRIN2	3	201	4	48	9	610	84	719	7	509	20	1212	16	1550	989	13
AKNA	6	291	3	116	18	1499	65	811	6	496	22	2229	11	770	882	38
AKNAD1	0	2	0	0	0	0	0	3	0	0	0	1	0	20	12	0
AKR1A1	10	308	2	139	17	1769	130	1696	11	1404	31	2172	19	3121	2315	35
AKR1B1	3	186	5	43	5	391	53	718	6	626	20	2433	28	3612	13287	153
AKR1B10	28	2532	6	515	6	442	29	328	2	4	5	950	1	176	20068	143
AKR1B15	2	29	1	11	0	6	3	13	0	8	2	39	0	55	348	4
AKR1C1	17	1283	1	164	8	453	80	1546	4	426	22	1952	18	1473	9814	73
AKR1C2	55	4930	14	1714	24	2976	773	17374	58	8936	105	9734	60	7856	15832	164
AKR1C3	12	1042	1	277	4	843	124	5595	1	737	32	3151	22	4570	22303	97
AKR1C4	0	0	0	0	0	0	0	19	0	1	0	1	0	3	20	0
AKR1D1	0	0	0	0	0	1	0	3	0	0	0	9	0	8	29	0
AKR1E2	1	29	0	4	1	105	15	105	1	64	4	299	7	495	1009	16
AKR7A2	2	89	1	45	2	499	33	590	0	493	13	560	8	1395	799	13
AKR7A3	0	7	0	3	0	13	5	22	0	6	2	21	2	49	12	0
AKT1	17	1060	8	301	24	3774	236	3697	30	3261	41	4179	61	6600	3356	53
AKT1S1	5	201	1	29	9	354	50	472	4	464	14	621	6	707	551	16
AKT2	10	329	9	154	15	979	153	1276	14	1412	28	1718	32	2116	4322	91
AKT3	4	341	4	84	14	1198	69	734	13	175	25	2588	39	2025	1505	61
AKTIP	7	273	6	95	2	1069	102	1308	6	936	14	1718	17	2121	1199	25
ALAD	5	100	5	41	3	454	64	519	4	259	12	508	5	561	1041	32
ALAS1	5	349	0	150	7	1379	129	1707	7	1069	29	2519	33	5244	14681	104
ALAS2	0	0	1	0	0	1	1	3	0	1	0	32	0	51	3	0
ALB	0	3	0	0	0	9	1	4	0	2	0	11	0	13	14	0
ALCAM	14	1537	7	417	8	3358	311	4499	24	1236	81	5754	29	6803	2560	51
ALDH16A1	0	92	1	37	4	329	24	337	3	290	7	389	10	661	900	12
ALDH18A1	5	523	3	67	10	1675	137	2189	16	1735	44	2774	34	4571	4207	61
ALDH1A1	1	38	2	79	16	1114	8	99	0	42	1	299	3	141	414	13
ALDH1A2	3	117	0	1	0	126	25	141	1	221	7	221	2	397	381	4
ALDH1A3	4	190	12	114	10	1869	40	669	2	709	33	1607	13	1692	5543	96
ALDH1B1	0	35	0	4	2	347	36	456	5	391	5	345	12	1227	824	31
ALDH1L1	5	76	7	298	4	1124	153	2639	15	1242	52	2888	54	4680	390	16
ALDH1L2	6	39	3	24	1	267	9	62	0	23	7	774	3	246	627	34
ALDH2	2	223	2	74	13	1868	12	364	2	14	7	339	1	413	641	27
ALDH3A1	1	177	4	277	4	367	7	149	0	8	3	17	2	51	2139	13
ALDH3A2	3	330	3	253	14	3395	86	963	4	854	28	1398	19	1947	4237	69
ALDH3B1	4	5	0	14	2	144	47	574	5	329	5	115	3	105	158	5
ALDH3B2	5	395	3	30	6	483	6	86	2	186	11	738	8	763	8274	74
ALDH4A1	2	179	1	90	7	700	22	676	1	258	11	528	5	1070	1605	7
ALDH5A1	7	403	7	171	8	1427	137	1811	6	884	46	2482	35	3178	3956	73
ALDH6A1	2	110	2	40	4	1256	36	738	3	220	4	710	6	1524	932	7
ALDH7A1	5	22	3	93	8	144	75	881	3	63	24	1932	49	4360	765	14
ALDH8A1	1	3	0	16	0	57	11	39	0	29	1	33	2	21	14	0
ALDH9A1	12	560	7	74	12	1956	142	3274	10	1445	28	2767	31	4782	4166	42
ALDOA	59	3326	30	617	81	6558	626	10693	58	9560	157	9775	205	22646	16144	209
ALDOB	0	0	0	1	0	2	0	0	0	0	0	2	0	16	3	0
ALDOC	1	38	0	15	1	95	14	321	1	161	6	364	4	739	991	13
ALG1	3	117	1	58	3	546	55	560	2	397	4	814	8	972	927	21
ALG10	0	52	2	19	3	352	27	347	1	257	7	608	2	1200	675	10
ALG10B	9	202	8	86	4	1160	119	1226	11	620	17	1847	28	3479	2008	31
ALG11	5	96	4	54	8	382	104	1163	14	432	7	1284	10	1291	858	9
ALG12	4	58	1	33	1	352	43	427	3	359	8	481	8	563	692	10
ALG13	17	538	11	427	37	3065	495	1795	40	1106	91	4291	72	2935	1982	104
ALG14	1	36	0	7	2	199	15	260	1	202	2	336	3	460	181	6
ALG1L	0	39	0	12	0	106	3	220	0	96	4	167	2	270	293	2
ALG1L2	0	2	0	1	0	1	5	7	0	2	1	59	1	27	19	0
ALG2	5	105	4	47	6	651	59	744	6	489	15	822	9	908	1115	22
ALG3	1	167	1	36	4	680	24	680	0	473	6	573	4	920	1154	14
ALG5	2	60	1	55	4	931	53	1441	5	1160	5	1056	13	1744	863	10
ALG6	4	107	2	63	6	586	71	646	2	426	7	872	9	1411	1078	15
ALG8	1	44	0	43	3	772	48	1157	0	642	7	817	9	2710	1046	9
ALG9	3	96	2	42	3	716	81	1345	9	1065	17	1513	17	2418	1001	16
ALK	0	0	0	0	0	4	1	0	0	1	0	3	0	39	47	3
ALKBH1	1	43	1	32	3	308	8	343	1	195	6	430	4	458	339	3
ALKBH2	1	60	1	8	1	305	20	427	2	350	3	375	4	911	747	5
ALKBH3	3	59	1	53	3	698	26	382	3	244	2	505	3	596	444	7
ALKBH4	1	30	0	9	2	155	15	193	0	211	4	236	2	340	211	2
ALKBH5	8	441	4	113	22	2606	144	1718	8	1391	49	3131	38	5254	4220	89
ALKBH6	2	37	0	30	2	120	21	117	0	133	1	160	4	154	432	6
ALKBH7	1	31	1	15	3	125	9	204	0	171	0	220	5	376	348	0
ALKBH8	4	106	3	26	11	252	58	814	5	304	6	987	15	1298	801	20
ALLC	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0
ALMS1	30	1812	16	617	35	3111	459	3623	51	2799	139	8392	116	9893	8080	175
ALOX12	1	54	1	3	0	74	6	60	1	137	0	29	0	22	1215	12
ALOX12B	0	1	0	0	0	13	0	2	0	0	0	27	0	51	41	0
ALOX15	0	14	0	9	4	360	5	44	0	56	0	83	2	177	338	4
ALOX15B	3	106	0	38	1	19	1	5	0	268	1	19	0	10	13	0
ALOX5	10	271	2	354	17	2635	422	7061	32	3252	73	6177	49	5017	785	21
ALOX5AP	0	23	0	1	2	209	3	63	0	8	1	367	0	60	81	6
ALOXE3	0	0	0	0	0	11	0	4	0	1	0	22	1	26	66	1
ALPI	0	0	0	0	0	2	0	0	0	0	0	0	0	14	1	0
ALPK1	7	481	10	312	16	2049	192	1434	13	515	36	2847	18	1732	841	24
ALPK2	0	13	0	3	2	155	0	10	0	0	4	144	0	45	140	3
ALPK3	0	41	1	23	2	186	11	119	3	49	16	501	14	339	559	21
ALPL	0	30	1	30	3	220	16	273	2	94	2	363	1	288	91	1
ALPP	0	0	0	0	0	0	0	6	0	2	1	28	0	16	9	0
ALPPL2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0
ALS2	3	342	3	155	19	1848	134	1172	17	846	31	2240	19	2359	1657	34
ALS2CL	20	328	12	549	34	2183	578	4912	53	2206	53	3205	46	2205	1795	76
ALS2CR11	1	148	2	8	1	243	6	21	0	5	5	721	4	516	52	1
ALS2CR12	1	27	0	15	0	90	3	22	1	9	2	81	2	72	61	2
ALS2CR8	2	201	3	117	8	605	84	758	12	383	16	1515	15	1083	430	19
ALX1	0	2	1	0	0	0	0	1	0	6	0	0	0	5	25	0
ALX3	0	1	0	1	0	2	0	1	0	1	2	7	1	58	8	0
ALX4	2	1	0	0	0	3	3	7	0	1	0	3	0	6	8	0
ALYREF	3	143	1	45	6	831	79	1160	3	1319	15	1022	15	2410	1921	29
AMACR	2	139	4	36	7	1627	96	1210	16	1972	12	1380	16	1669	1985	22
AMBN	0	0	0	0	0	0	0	0	0	0	0	0	0	18	30	0
AMBP	0	0	0	0	0	1	0	0	0	0	0	1	0	10	2	0
AMBRA1	6	221	8	200	11	1233	146	1171	12	748	16	1323	14	1162	1620	47
AMD1	15	711	8	104	23	3999	159	2034	13	1617	52	4240	39	8132	4432	47
AMDHD1	0	3	0	6	0	36	0	5	0	9	0	4	0	19	77	0
AMDHD2	0	29	0	14	3	98	2	124	0	104	4	183	0	209	261	15
AMELX	0	0	0	0	0	2	0	3	0	0	0	2	0	12	5	0
AMELY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AMFR	7	427	4	186	13	1931	186	3018	10	2500	33	2588	22	4130	3045	49
AMH	0	3	0	1	0	41	6	4	1	14	0	27	1	16	15	1
AMHR2	0	0	0	0	0	3	1	0	0	0	0	0	0	1	2	0
AMICA1	3	154	2	17	14	865	5	124	1	26	7	905	2	124	163	7
AMIGO1	0	24	1	5	1	110	13	206	2	159	2	207	2	201	186	4
AMIGO2	17	351	6	175	5	653	601	10061	65	9309	74	2801	61	5145	2882	67
AMIGO3	2	15	0	19	0	113	9	114	0	70	1	128	0	297	145	2
AMMECR1	14	536	3	77	30	2844	146	1243	14	1179	25	2136	23	3873	3464	61
AMMECR1L	6	174	8	93	13	909	156	1000	15	636	38	1480	21	1818	1738	36
AMN	0	4	0	4	1	31	0	28	0	7	0	24	1	45	13	0
AMN1	2	32	0	12	3	182	29	356	1	178	4	474	3	614	248	2
AMOT	2	146	1	33	0	310	9	330	0	49	8	475	1	313	1703	28
AMOTL1	8	308	6	43	22	1177	197	1432	16	1179	76	5398	68	5457	1905	109
AMOTL2	2	137	2	49	7	1072	35	710	3	302	10	1028	10	1260	871	21
AMPD1	0	1	0	2	2	13	0	4	0	0	2	26	0	21	12	0
AMPD2	4	232	1	90	6	593	53	694	4	529	17	1147	17	1119	1533	28
AMPD3	2	135	2	109	4	905	89	809	13	582	22	1244	15	829	534	11
AMPH	0	4	0	0	0	25	1	29	0	5	1	63	1	93	61	3
AMT	2	45	1	41	2	76	51	543	1	113	10	583	6	496	91	3
AMTN	0	1	0	0	0	5	2	0	0	0	0	1	0	14	13	0
AMY1A	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	0
AMY1B	0	0	0	0	0	1	0	0	0	0	0	0	0	5	3	1
AMY1C	0	0	0	1	0	0	1	0	0	0	0	0	0	15	27	0
AMY2A	0	0	0	1	0	0	0	1	0	0	0	2	0	16	16	0
AMY2B	5	114	0	170	5	453	57	542	14	95	19	472	3	201	146	7
AMZ1	0	3	0	2	0	8	0	4	0	2	0	40	0	28	81	1
AMZ2	4	243	5	96	13	1697	184	1957	14	1411	23	2432	18	2999	2096	40
ANAPC1	17	826	9	362	29	3899	253	3503	24	2234	52	5389	75	9418	4210	58
ANAPC10	2	94	1	34	7	421	8	366	2	285	3	497	3	696	333	6
ANAPC11	0	17	1	16	1	186	11	414	1	470	1	209	1	453	397	2
ANAPC13	3	154	3	37	10	1066	51	966	2	510	12	1051	11	1946	1782	27
ANAPC15	8	258	0	11	3	305	23	295	5	313	9	396	11	1097	330	5
ANAPC16	19	385	7	111	18	1321	310	2705	23	1742	49	2497	36	3544	1805	61
ANAPC2	1	72	0	51	2	293	21	329	4	172	13	622	7	645	458	5
ANAPC4	11	500	3	248	7	1792	195	2283	12	1049	41	3478	32	3490	1884	29
ANAPC5	10	365	9	348	18	2684	104	2231	16	1696	23	3089	28	4108	3823	54
ANAPC7	10	353	5	227	21	1860	192	1787	17	1155	33	2454	54	3980	3261	49
ANG	0	9	0	2	0	13	0	11	1	12	0	12	0	9	5	0
ANGEL1	4	117	0	68	2	461	52	510	6	286	8	824	4	896	1065	16
ANGEL2	8	311	4	112	17	1377	212	2119	18	1059	42	3191	35	4237	1488	30
ANGPT1	0	36	0	3	2	309	1	83	0	13	4	196	0	214	388	11
ANGPT2	13	491	8	46	11	975	155	1806	36	1147	50	5941	63	7129	1746	37
ANGPT4	0	0	0	0	0	0	0	3	0	0	0	2	0	4	24	0
ANGPTL1	1	8	0	2	0	13	7	321	0	7	0	24	0	38	35	4
ANGPTL2	0	43	0	10	5	539	23	350	5	157	13	1035	21	1388	498	50
ANGPTL3	0	0	0	2	0	8	1	3	0	0	0	11	0	21	17	0
ANGPTL4	2	99	0	19	2	89	19	303	5	294	10	402	5	416	1869	6
ANGPTL5	0	0	0	0	0	0	0	0	0	1	0	0	0	9	10	0
ANGPTL6	0	0	0	1	0	17	0	20	0	11	0	18	1	21	16	0
ANGPTL7	0	2	0	3	0	11	0	5	0	3	0	7	0	18	6	0
ANHX	0	0	0	0	0	0	0	2	0	0	0	0	0	12	2	0
ANK1	0	38	1	6	0	73	1	41	1	7	1	230	4	319	922	11
ANK2	2	23	1	4	4	180	0	36	0	10	2	77	1	96	1345	37
ANK3	18	795	9	475	25	2241	745	4102	58	2463	141	11557	115	9315	1879	42
ANKAR	4	117	3	122	7	368	97	480	0	175	7	1152	11	806	239	3
ANKDD1A	2	17	3	9	0	69	11	34	1	26	12	164	4	165	150	9
ANKDD1B	1	28	0	10	0	38	9	83	3	30	1	218	3	184	50	0
ANKFN1	0	0	1	1	0	1	10	169	0	0	1	80	0	22	49	0
ANKFY1	6	440	9	370	51	4472	216	2042	18	1116	77	5429	68	6242	3659	49
ANKH	2	131	2	41	12	1209	51	367	6	169	16	1016	12	1504	666	46
ANKHD1	17	1060	13	701	30	2641	605	4338	36	2110	129	8346	106	9426	11555	111
ANKHD1-EIF4EBP3	24	662	19	599	27	1778	519	3364	73	1428	117	6921	135	6620	7875	148
ANKIB1	22	802	19	308	39	3809	431	3572	56	3082	83	7513	110	9124	6689	120
ANKK1	0	16	0	10	0	7	2	26	0	11	0	39	0	22	75	2
ANKLE1	0	2	0	6	0	13	0	5	0	1	0	23	0	39	26	0
ANKLE2	15	644	18	341	15	1876	347	3779	35	3518	69	4885	55	5837	4287	87
ANKMY1	0	70	1	97	4	271	20	271	5	205	4	385	13	556	316	8
ANKMY2	2	111	1	86	12	1282	77	1103	5	630	13	1617	15	1988	1656	14
ANKRA2	1	140	1	93	2	566	89	1030	8	574	15	1547	14	1965	721	16
ANKRD1	0	1	0	1	0	2	0	0	0	3	0	43	1	66	17	0
ANKRD10	7	213	8	194	13	1985	193	2922	19	1444	27	3049	25	3025	2921	31
ANKRD11	21	2015	34	834	44	2638	774	2669	87	1413	202	8152	164	6480	7775	236
ANKRD12	29	1263	20	710	68	5602	937	4673	84	1590	141	10884	82	4636	3226	112
ANKRD13A	6	351	9	137	29	3583	145	2112	15	2052	36	3105	33	3626	3779	55
ANKRD13B	0	20	0	10	0	31	23	189	5	232	5	214	4	231	855	17
ANKRD13C	2	279	6	138	20	1385	139	1372	9	819	22	2307	22	2423	1468	35
ANKRD13D	5	347	5	148	6	610	61	909	4	720	18	1369	53	2831	900	17
ANKRD16	3	38	0	46	6	247	11	277	2	221	2	303	2	398	268	7
ANKRD17	75	3219	37	1378	104	10217	1191	8770	126	4623	307	17853	253	21812	22032	384
ANKRD18A	0	23	2	17	0	68	118	250	7	130	2	94	7	284	582	10
ANKRD18B	5	121	4	71	2	138	97	312	18	330	7	271	27	1105	771	13
ANKRD2	0	1	0	0	0	0	1	0	0	0	0	5	0	16	3	0
ANKRD20A1	0	15	0	73	1	61	40	111	5	63	5	249	2	205	1665	38
